question,iv_answer,dv_answer,iv_type,dv_type,distractor1,distractor2,distractor3,distractor4,distractor5,distractor6,qid,test
Adolescents who have more free time are more likely to play videogames.,Amount of Free Time,Videogamer,Continuous,Categorical,Time Spent at Home,Free Time vs. Busy Time,3 Hours,Access to Videogames,Time Spent Playing Videogames,Adolescents,23,Logistic regression
People who are score better on a maths test are more likely to become accountants.,Scores on a Maths Test,Occupation,Continuous,Categorical,Mental Arithmetic,Preference for Numbers,Bad at maths,Good with money,Not an Accountant,People,24,Logistic regression
"When given the choice between one sticker now or two stickers later, older children (compared to younger children) are more likely to choose the latter.",Older Children vs Younger Children,Choice (One Sticker Now vs. Two Stickers Later),Categorical,Categorical,Mental Time Travel,Developmental Stage,10 -Years-Old,Delayed Gratification,Number of Stickers,Children,25,Chi-square test of independence
Whether a person decides to skip breakfast or not depends on how long they have slept past their alarm.,Time Slept Past Alarm,Eat Breakfast vs Skip Breakfast,Continuous,Categorical,Tiredness,Running Early vs. Running Late,30 minutes,Amount of Food Eaten,Level of Hunger,People,26,Logistic regression
"Children older than 3 years will pass a false-belief task, while children younger than 3 years will fail.",Age Group (Children Older than 3 years vs Younger than 3 years),Pass vs. Fail False-Belief Task,Categorical,Categorical,Language Development,Age in Years,Older than 3-years,Intelligence,Time to Pass False-Belief Task,Children,27,Chi-square test of independence
"Chimpanzees can use tools, but alligators cannot.",Species,Tool Use,Categorical,Categorical,Dexterity,Exposure to Humans,Chimpanzees,Intelligence,Time Spent Using Tools,Animals,28,Chi-square test of independence
"Families are more likely to go to the park in Summer, but the movies in Winter",Season,Activity (Park vs. Movies),Categorical,Categorical,Month,Temperature,Summer,Weather,Time Spent Outdoors,Families,29,Chi-square test of independence
"Male faces are more likely to be categorised as angry, while female faces are more likely to be categorised as happy.",Sex of Face,Emotion,Categorical,Categorical,Sex of Rater,Facial Masculinity,Male Faces,Reaction Time,Angry,Faces,31,Chi-square test of independence
Males are more likely to grow a beard if they score higher on an aggression scale.,Scores on Aggression Scale,Beardedness (Bearded vs. Clean-shaven),Continuous,Categorical,Number of Fights,Angry,Highly Aggressive,Clean-shaven,Length of Beard (in cm),Men,32,Logistic regression
People with brown eyes are rated as more trustworthy than people with blue eyes.,Eye Colour,Ratings of Trustworthiness,Categorical,Continuous,Eye Size,Ethnicity,Blue Eyes,Highly Trustworthy,Ratings of Dominance,People,33,Independent-samples t-test
"After a stressful event, drivers rate their mood higher when they shout a larger number of swear words.",Number of Swear Words,Mood Ratings,Continuous,Continuous,Stressful Event,Loudness of Shouting,50 Swear Words,Poor Mood,Driving Skills,Drivers,34,Correlation
Online daters who score high on an agreeableness scale are more likely to reply to a message.,Scores on Agreeableness Scale,Reply to Message (No Reply vs Reply),Continuous,Categorical,Scores on Openness to Experience Scale,Number of Replies,Low on Agreeableness,Online Dating Usage,Number of Messages,Online Daters,35,Logistic regression
People are less likely to wear face-masks if they score high on a conspiracy beliefs scale.,Scores on Conspiracy Beliefs Scale,Wears Face-Mask (Yes vs. No),Continuous,Categorical,Number of Conspiracy Theories,Time Spent Wearing Face Masks,Does not Wear Face Masks,Pathogen Disgust Sensitivity,Scores on a Conformity Scale,People,36,Logistic regression
Children who are between 3- to 5-years-old are more likely to tell the truth compared to children between 5- to 7-years-old.,Age Group (Children Between 3-5 vs. between 5-7 years old),Telling Truth vs. Lie,Categorical,Categorical,Age,Number of Lies Told,3 to 5-Year Olds,Truth Condition,Scores on a Trustworthiness Scale,Children,38,Chi-square test of independence
People will score lower on a stress questionnaire after eating an unhealthy snack.,Before vs. After Eating Snack,Scores on Stress Questionnaire,Categorical,Continuous,Number of Snacks Eaten,Time of Day,Scores on Self-Affirmation Questionnaire,High Stress,Before Eating Snack,People,41,Paired-samples t-test
People are more likely to score higher on an empathy questionnaire when thinking about a family members compared to a stranger.,Target (Family Member vs. Stranger),Scores on a Empathy Measure,Categorical,Continuous,Degree of Relatedness,Levels of Altruism,Stranger Condition,25 on Empathising Measure,Familiarity with Target,People,42,Paired-samples t-test
People score lower on a narcissism scale after they quit using social media compared to before.,Social Media Use (Before Quitting vs. After Quitting),Scores on a Narcissism Scale,Categorical,Continuous,Time Spent on Social Media,High on Narcissism,Scores on a Perfectionism Scale,Number of Instagram Followers,Life Satisfaction,Social Media Users,43,Paired-samples t-test
Witnesses will respond slower (measured in milliseconds) to faces they recognise compared to faces they do not.,Face Recognition (Known vs. Unknown),Reaction Time (in milliseconds),Categorical,Continuous,Face Perception,Memory,Number of Lies Told,Milliseconds,Unknown Face,Witnesses,44,Paired-samples t-test
"People will rate the mood of chimpanzees as more positive when watching videos with audio, compared to people who see the videos without audio, or only hear audio.",Video Condition (Audio + Video vs. Video-only vs. Audio-only),Mood Ratings,Categorical,Continuous,Correct Mood Identification,Quality of Video,Video-only Condition,Low Mood Rating,Experience with Chimpanzees,People,46,One-way ANOVA
Residents from Scotland will score higher on a trusting scale compared to residents from England or the US.,Country of Residence,Scores on a Trusting Scale,Categorical,Continuous,Cultural Differences,Scores on an Altruism Scale,Ethnicity,Residents in Scotland,High Scores on a Trusting Scale,Residents,47,One-way ANOVA
"Pandas are more likely to be active in the Spring, Summer, and Autumn compared to in the Winter.",Season,Activity Level,Categorical,Continuous,Temperature,Sex of Panda,Energy Levels,Winter,Asleep vs Awake,Pandas,49,One-way ANOVA
Babies who listen to lullabies will fall asleep faster compared to babies who listen to pop music or no music.,Music Type,Time to Fall Asleep,Categorical,Continuous,Music Tempo,Asleep vs. Awake,Pop Music Condition,15 Minutes,Age,Babies,50,One-way ANOVA
