"student.no","program","stats.exp","stats.anx","expected.grade","cat.dog","aus.animal","height","video.games","video.games.exp","introversion2","introversion5","introversion7","introversion8","introversion10","pre.mood","post.mood","support.1","support.2","support.3","support.4","support.5","stress.1","stress.2","stress.3","stress.4","stress.5","sleep1","sleep2","sleep3","sleep4","sleep5","sleep6","wayfinding1","wayfinding2","wayfinding3","wayfinding4","wayfinding5","wayfinding6","wayfinding7","wayfinding8","wayfinding9","wayfinding10","wayfinding11","wayfinding12","wayfinding13","wayfinding14","wayfinding15","wayfinding16","wayfinding17","wayfinding18","wayfinding19","wayfinding20","wayfinding21","wayfinding22","pathogen1","pathogen2","pathogen3","pathogen4","pathogen5","pathogen6","pathogen7","exercise.attitude.1","exercise.attitude.2","exercise.attitude.3","exercise.attitude.4","exercise.attitude.5","exercise.intention.1","exercise.intention.2","exercise.intention.3","exercise.intention.4","exercise.intention.5","exercise.control.1","exercise.control.2","exercise.control.3","exercise.norms.1","exercise.norms.2","exercise.norms.3","exercise.norms.4","exercise.norms.5","exercise.behaviour.1","exercise.behaviour.2","exercise.behaviour.3","exercise.behaviour.4","exercise.behaviour.5","stars.1","stars.2","stars.3","stars.4","stars.5","stars.6","stars.7","stars.8","stars.9","stars.10","stars.11","stars.12","stars.13","stars.14","stars.15","stars.16","stars.17","stars.18","stars.19","stars.20","stars.21","stars.22","stars.23","stars.24","stars.25","stars.26","stars.27","stars.28","stars.29","stars.30","stars.31","stars.32","stars.33","stars.34","stars.35","stars.36","stars.37","stars.38","stars.39","stars.40","stars.41","stars.42","stars.43","stars.44","stars.45","stars.46","stars.47","stars.48","stars.49","stars.50","stars.51","rotation_time1","rotation_response1","rotation_time2","rotation_response2","rotation_time3","rotation_response3","rotation_time4","rotation_response4","rotation_time5","rotation_response5","ingroup1","ingroup2","ingroup3","ingroup4","outgroup1","outgroup2","outgroup3","outgroup4"
28668400,"Conversion MSc",4,9,50,"dog","kangaroo",172,"No",1,3,2,4,2,2,68,85,2,2,2,1,1,2,2,2,1,2,1,1,2,2,2,2,6,4,6,2,2,6,6,5,5,3,5,2,2,3,1,5,4,6,5,4,5,4,6,4,4,5,5,5,3,7,5,3,7,5,4,1,6,6,6,6,2,5,6,1,6,6,4,0,4,1,6,3,5,3,4,5,3,2,5,5,2,3,4,4,3,3,4,4,4,2,3,3,3,3,2,4,4,3,3,3,2,2,4,1,4,4,1,2,3,3,4,2,2,2,4,3,3,3,2,4,2,3,3,6498.6,"Incorrect",4169.4,"Incorrect",9201.4,"Correct",8291.4,"Incorrect",12807.3,"Incorrect",6,9,8,7,5,6,8,8
28821150,"Other Research MSc",8,2,72,"dog","echidna",5.1,"Yes",7,4,4,3,4,2,51,55,7,7,3,4,7,2,2,2,3,1,4,3,2,5,5,4,6,6,7,4,6,6,5,3,2,2,3,2,2,2,1,5,3,7,6,6,6,7,5,5,5,1,3,1,6,6,6,2,6,4,6,3,5,5,4,1,2,1,4,2,4,5,4,0,5,1,3,3,2,1,4,1,1,1,2,4,1,4,1,1,2,1,3,3,1,2,3,1,2,2,3,1,1,1,1,2,1,3,1,2,1,1,1,3,1,1,1,1,1,1,3,4,1,3,1,1,1,1,1,12799.6,"Incorrect",8923.2,"Correct",8116.2,"Correct",3611.1,"Correct",15627.8,"Correct",6,7,7,8,6,7,3,3
30756358,"Conversion MSc",6,4,90,"cat","wombat",165,"Yes",4,2,2,4,2,2,64,83,7,7,5,3,7,4,3,4,4,4,2,2,3,1,4,5,6,7,5,1,1,3,5,3,3,2,5,7,2,2,3,2,1,1,2,5,3,2,6,1,1,2,4,6,3,7,5,6,7,6,5,1,6,6,1,4,0,1,2,6,6,4,6,4,2,0,0,4,3,2,4,1,1,1,4,4,1,3,4,2,3,2,3,4,2,1,2,4,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,30260.6,"Incorrect",26609.6,"Correct",18115.5,"Correct",7692.5,"Correct",24542.1,"Incorrect",4,9,1,7,1,7,7,8
31452892,"Other Research MSc",6,7,70,"cat","koala",170.18,"Yes",8,5,4,2,3,5,73,100,7,7,7,7,7,2,2,3,1,2,4,2,4,3,4,5,2,7,7,2,4,2,4,6,6,3,6,7,7,7,7,2,3,6,1,3,5,3,6,2,4,6,6,6,6,4,7,2,7,5,2,5,4,5,4,5,3,1,1,1,5,6,5,0,6,0,0,0,4,4,2,4,4,2,3,5,4,5,4,4,5,3,5,2,4,3,3,3,2,4,5,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,2,1,1,3,8073,"Correct",17411,"Incorrect",7772,"Correct",6439,"Incorrect",6055,"Incorrect",8,9,7,7,4,5,5,7
33615304,"Conversion MSc",1,8,80,"dog","koala",150,"No",0,3,4,3,2,4,74,100,7,7,7,6,7,3,3,3,2,3,3,3,3,3,2,2,1,2,3,1,1,1,2,7,6,5,5,4,6,7,5,1,1,2,3,3,3,2,6,5,5,5,5,4,6,7,7,4,7,6,7,4,6,6,6,4,2,3,1,5,7,7,2,4,6,6,5,5,4,1,4,4,3,4,5,5,1,5,4,4,5,4,5,5,3,3,4,5,5,5,4,2,4,1,1,1,1,1,4,1,2,1,1,1,2,3,2,2,1,1,4,2,1,2,1,2,1,1,4,23479.2,"Correct",11065.1,"Correct",13864.1,"Correct",12563.2,"Correct",12897.6,"Incorrect",6,7,5,5,4,7,7,6
34080721,"Conversion MSc",1,6,71,"dog","kangaroo",173.73,"No",0,3,4,2,1,3,39,37,5,6,2,1,7,3,4,3,3,4,3,2,4,4,5,2,7,1,1,1,1,1,1,7,6,1,6,7,6,7,2,2,4,1,1,4,4,4,6,0,6,6,6,3,3,7,7,1,7,7,7,3,6,7,7,0,1,0,1,1,1,7,1,0,6,3,0,4,4,4,2,3,4,2,5,4,5,4,5,4,1,1,4,1,1,5,5,4,1,4,5,3,3,2,1,1,1,1,1,1,1,1,1,4,3,3,4,3,1,1,1,4,1,1,1,4,1,1,5,15882.7,"Incorrect",6150.8,"Incorrect",5160.3,"Incorrect",4786.8,"Incorrect",3723.2,"Incorrect",5,5,5,4,1,6,3,2
35287745,"Conversion MSc",2,6,65,"dog","koala",167,"Yes",3,4,4,4,4,2,100,100,6,6,7,6,6,3,2,3,2,3,3,1,4,4,4,4,4,7,2,2,4,2,5,5,6,6,7,5,6,6,7,5,4,5,5,5,2,4,4,3,4,3,5,5,4,7,6,7,6,4,7,4,7,7,7,3,4,4,5,4,5,5,4,4,5,4,0,5,4,4,2,4,5,3,4,5,3,4,4,4,1,3,3,2,2,2,2,4,2,4,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10684,"Correct",40364,"Correct",11030,"Incorrect",9663,"Correct",7558,"Correct",6,7,6,6,5,6,6,6
35488621,"Health MSc",5,6,68,"dog","platypus",155,"No",0,1,2,2,1,1,75,68,6,5,6,6,6,2,3,3,2,2,4,2,5,4,5,5,4,4,4,3,2,1,1,1,1,4,3,5,4,5,5,3,3,5,2,2,5,3,5,1,5,6,6,4,3,7,7,2,7,7,7,4,7,7,7,5,5,5,3,3,3,3,3,6,6,2,2,6,4,4,4,3,3,2,3,5,4,4,2,2,4,2,3,4,2,2,4,2,2,3,2,3,2,2,2,2,2,4,2,1,2,2,2,2,3,2,2,2,1,1,2,1,3,2,2,3,1,1,1,34576.2,"Correct",32952.6,"Correct",7992.9,"Incorrect",24493.4,"Correct",15309.6,"Incorrect",7,9,8,8,5,7,8,7
37954048,"Conversion MSc",5,7,60,"dog","wombat",165,"Yes",5,2,2,4,2,2,72,75,6,7,7,6,7,3,2,3,2,2,3,4,4,3,5,5,6,7,7,7,7,7,7,7,7,4,7,3,5,7,7,7,7,7,2,7,7,5,5,0,3,4,3,6,6,6,6,7,7,6,5,5,5,7,6,4,3,2,4,4,6,7,3,4,3,6,2,1,4,4,3,4,4,3,3,5,5,5,4,3,5,3,5,3,4,3,4,4,3,4,3,2,4,1,1,1,1,1,2,1,1,1,1,2,2,3,1,1,1,1,2,1,3,1,1,1,1,1,3,33497,"Correct",44373,"Incorrect",11341,"Correct",11724,"Incorrect",9689,"Correct",4,9,4,7,2,7,6,7
38578897,"Conversion MSc",1,3,65,"cat","koala",181,"No",0,2,2,2,2,1,72,70,5,5,5,3,5,3,4,3,4,2,2,2,1,2,2,1,6,6,6,5,6,5,5,5,4,1,3,5,4,4,5,5,5,3,4,3,5,4,6,3,4,4,6,2,4,7,7,7,7,7,7,4,7,7,7,4,4,5,7,7,7,7,7,2,4,2,4,5,4,5,3,3,2,3,4,5,3,2,3,3,5,3,3,4,3,5,3,3,4,4,3,5,5,2,2,2,2,1,5,1,1,3,3,2,3,3,2,4,1,2,1,3,4,2,1,4,2,1,3,6373.5,"Incorrect",4838.8,"Incorrect",9659.3,"Incorrect",5328.6,"Correct",5606.4,"Incorrect",9,9,4,5,9,6,9,9
38913365,"Other Research MSc",5,6,63,"dog","koala",152,"Yes",0,3,3,2,3,2,73,79,7,7,4,3,7,2,3,2,2,1,1,1,1,1,3,3,1,4,2,1,3,1,2,5,5,5,5,5,6,6,4,3,1,5,1,1,1,2,4,0,3,5,4,4,3,4,4,5,5,4,3,3,3,3,3,3,2,2,4,4,4,4,4,1,6,0,0,2,4,3,4,4,3,3,4,3,5,3,4,3,5,1,3,2,2,3,3,3,1,3,2,3,5,4,1,3,1,1,5,1,1,4,1,5,2,4,4,3,1,1,1,4,2,2,1,4,3,1,5,21529.5,"Incorrect",20394.7,"Incorrect",10931.8,"Incorrect",17904.6,"Correct",11009.6,"Incorrect",2,4,4,2,1,4,1,2
39278822,"Conversion MSc",3,6,80,"cat","koala",163,"No",0,3,4,1,3,4,100,100,7,7,7,7,7,2,2,2,1,1,2,1,2,1,2,2,4,7,4,2,4,4,6,5,4,4,4,3,3,3,1,5,2,5,1,4,5,5,4,0,0,4,2,3,0,7,6,1,7,7,4,4,7,5,6,5,5,5,5,4,7,6,5,0,6,0,0,0,5,5,4,4,5,4,5,4,4,5,4,4,4,4,5,3,4,4,3,4,4,5,3,3,4,3,3,3,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,3768,"Incorrect",15942,"Incorrect",3737,"Correct",2303,"Correct",2955,"Incorrect",7,8,8,7,5,5,8,7
39510384,"Conversion MSc",7,9,60,"dog","koala",150,"Yes",5,2,3,3,2,2,47,63,6,6,5,4,6,3,2,3,2,2,2,2,3,3,3,4,6,6,5,3,5,5,5,6,6,5,4,4,4,5,5,5,3,5,5,3,3,4,6,3,4,3,3,4,5,5,4,7,5,4,6,6,6,6,6,5,3,2,2,3,3,3,3,3,4,2,2,2,5,3,4,5,3,3,4,5,3,5,5,5,5,3,5,4,4,3,3,5,5,5,3,2,4,3,2,2,2,3,3,3,3,3,1,2,3,5,2,1,1,1,2,2,5,3,2,2,2,2,5,16708.4,"Correct",35933.4,"Incorrect",10098.4,"Correct",1791.8,"Incorrect",16640.9,"Correct",7,7,5,6,4,5,6,5
40047471,"Health MSc",4,8,70,"dog","koala",158,"No",0,2,2,2,2,2,67,83,6,6,7,6,7,3,3,4,2,4,3,1,4,3,4,3,4,5,4,5,2,2,1,5,6,7,6,5,5,5,6,5,4,4,3,3,5,6,5,1,3,5,4,5,5,6,7,6,7,5,6,4,6,5,5,4,4,3,5,5,7,5,4,0,6,0,0,4,5,5,2,2,4,4,5,5,4,5,5,3,4,3,4,2,3,3,5,4,3,5,3,2,4,2,1,1,1,1,3,1,1,3,1,2,2,4,4,1,1,1,3,2,1,1,1,3,1,1,3,5355,"Incorrect",5637,"Correct",20887,"Correct",8504,"Correct",15654,"Incorrect",6,8,6,6,4,6,7,6
40189274,"Conversion MSc",2,9,60,"dog","wombat",162.56,"Yes",4,2,4,3,2,4,60,66,3,5,2,1,4,2,3,3,2,2,4,4,3,5,4,3,4,3,3,1,1,5,2,5,5,5,5,6,3,4,5,1,1,5,1,4,6,3,2,2,1,3,3,1,1,5,6,4,5,3,4,5,4,5,5,3,3,1,3,5,2,4,5,0,6,1,0,3,5,5,4,4,5,5,5,5,5,4,5,5,3,5,5,3,5,3,3,5,5,5,3,3,5,4,3,3,2,3,5,2,2,4,3,3,4,5,5,3,2,3,3,4,5,5,2,5,3,3,5,5499.4,"Incorrect",18699.9,"Correct",3616.7,"Correct",4783.4,"Correct",6449.9,"Incorrect",5,5,5,5,5,5,5,5
40548527,"Conversion MSc",3,8,100,"dog","koala",157,"Yes",1,2,2,3,2,4,79,81,4,4,4,2,2,2,2,2,1,3,5,5,5,4,4,5,6,5,4,2,2,4,4,3,3,4,5,4,4,4,4,5,3,5,5,5,4,4,6,3,6,6,6,6,6,5,6,6,7,7,5,5,7,7,4,4,3,5,4,4,4,6,4,0,6,0,0,0,4,4,2,4,5,4,4,5,5,5,5,3,4,5,5,1,5,3,1,5,5,4,3,3,5,2,2,2,2,1,1,1,1,1,2,4,2,2,5,2,2,1,4,4,4,5,3,5,3,1,3,17152.3,"Correct",33343.5,"Incorrect",40473.2,"Incorrect",23210.1,"Correct",25693.5,"Incorrect",5,5,5,5,5,5,5,5
40588632,"Other Research MSc",5,3,76,"dog","platypus",152.4,"Yes",11,3,4,2,2,4,54,55,5,5,6,6,5,3,3,4,3,2,4,3,5,4,5,3,4,5,6,4,7,6,4,5,3,3,5,2,3,5,3,6,2,7,5,6,6,6,2,2,3,5,3,4,5,2,1,2,3,1,1,1,2,1,1,0,1,0,1,1,1,1,1,0,6,0,0,0,4,3,2,3,3,2,4,5,3,5,4,2,4,2,5,2,4,2,4,3,3,5,2,3,2,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,2,1,1,3,5,3,1,1,2,33250.9,"Correct",10298.8,"Incorrect",8600.2,"Correct",3628.8,"Correct",12531.8,"Incorrect",6,6,5,5,4,6,7,7
40694281,"Other Research MSc",6,3,75,"cat","wombat",168,"Yes",2,2,3,3,5,4,62,67,4,5,5,2,5,2,1,3,1,2,3,3,5,5,5,5,1,1,1,1,1,1,1,7,7,3,7,5,7,7,6,1,1,1,1,1,1,1,5,1,3,5,3,5,6,7,7,5,7,7,7,1,7,7,5,6,6,6,6,1,7,7,3,0,6,6,0,6,4,1,5,3,4,1,4,3,4,5,1,2,5,1,5,5,1,1,5,1,2,4,5,1,3,1,1,1,1,1,3,1,1,5,1,3,3,3,5,1,1,1,1,1,1,5,3,5,1,1,4,22581.6,"Correct",50948.5,"Correct",24692.9,"Correct",30270.1,"Correct",70376.5,"Correct",4,9,5,9,4,7,6,7
40794123,"Conversion MSc",5,7,70,"dog","koala",160,"No",0,1,1,2,2,1,77,89,7,7,5,5,7,3,4,3,4,0,2,1,2,2,3,1,6,5,5,4,2,4,5,5,5,6,6,4,4,4,2,5,5,6,6,6,5,4,6,1,1,3,4,5,6,7,7,7,7,7,7,2,7,7,7,6,6,6,2,1,4,7,2,3,6,6,1,5,4,3,2,2,4,2,3,4,3,3,5,3,4,4,4,2,3,2,3,3,3,4,2,1,4,3,1,2,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,16993.7,"Incorrect",9036.1,"Incorrect",5169,"Incorrect",12549.2,"Incorrect",11562.6,"Incorrect",5,7,5,6,5,5,5,6
42045392,"Conversion MSc",1,5,60,"cat","koala",188,"Yes",3,2,4,3,2,4,0,6,5,5,7,5,5,4,4,4,4,4,5,5,4,4,5,2,6,7,6,6,6,6,5,1,1,1,2,1,1,2,1,6,6,6,6,6,6,6,6,4,3,1,5,6,4,5,3,3,7,4,6,2,7,7,6,5,2,4,6,2,4,7,6,0,4,0,0,0,3,1,1,4,3,3,2,4,1,4,3,3,4,4,4,1,1,2,3,3,3,3,2,1,4,3,2,3,2,1,3,1,2,3,2,3,2,2,2,3,2,2,4,4,3,1,1,4,2,2,4,9328,"Incorrect",9340,"Correct",7169,"Incorrect",5933,"Correct",11446,"Incorrect",8,9,5,8,2,6,7,7
43084784,"Conversion MSc",4,4,70,"cat","kangaroo",185,"Yes",15,2,2,4,4,3,66,66,6,5,6,5,6,2,2,3,3,2,2,2,1,2,5,2,5,5,5,6,6,6,5,2,2,2,2,2,2,2,2,6,5,5,6,6,5,5,3,3,3,3,3,5,3,6,5,3,6,5,6,5,6,4,4,5,4,3,5,5,5,5,5,4,3,2,1,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,1,1,3,1,1,2,1,3,3,1,3,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,3289.7,"Correct",7529.2,"Correct",5124.5,"Incorrect",2207.3,"Incorrect",2189,"Incorrect",5,5,5,5,5,5,5,6
43235266,"Conversion MSc",6,6,80,"cat","platypus",173,"Yes",4,1,1,2,2,3,100,100,7,7,6,6,7,3,3,2,2,2,2,1,1,1,2,1,6,5,6,5,6,6,5,4,4,4,5,6,4,5,4,5,5,6,6,6,6,5,5,1,1,1,1,4,3,4,6,1,7,6,6,4,6,7,4,5,5,4,4,3,6,5,1,3,5,1,0,3,4,4,2,2,2,2,3,4,2,3,3,3,2,3,3,2,2,2,2,2,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,25710,"Correct",16233,"Correct",24063,"Correct",6037,"Correct",75501,"Correct",7,8,7,7,7,7,7,8
43782222,"Other Research MSc",7,3,75,"cat","kangaroo",157,"No",0,1,2,1,1,1,74,85,5,7,7,5,7,2,1,2,1,0,2,2,2,2,4,5,3,3,2,1,1,1,1,5,5,5,4,5,4,4,2,1,1,2,3,3,1,2,6,2,2,1,5,2,5,7,4,6,7,6,5,2,6,6,6,6,2,6,2,2,2,2,2,4,4,0,0,0,4,2,1,2,1,1,2,4,2,4,3,2,4,2,4,1,1,1,1,1,2,2,1,3,4,1,1,1,1,1,1,1,1,1,1,1,4,1,1,3,1,1,1,1,1,1,1,1,1,1,1,10842.6,"Incorrect",6993.1,"Incorrect",4742.6,"Incorrect",8259.3,"Correct",14976.4,"Correct",7,9,5,7,2,5,7,7
44512643,"Conversion MSc",4,3,72,"cat","koala",168,"No",1,1,2,2,1,1,49,70,5,6,2,1,6,2,1,2,2,4,3,2,3,2,4,5,7,6,6,3,3,2,5,3,1,4,5,1,2,2,1,3,5,5,6,3,6,5,4,6,3,2,4,5,4,7,6,5,7,6,1,1,1,1,1,2,0,0,1,1,1,1,1,1,4,5,3,0,3,3,4,3,5,2,1,5,1,5,2,2,2,3,5,4,5,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,73754.4,"Correct",59550.6,"Correct",12506.1,"Incorrect",16488.4,"Correct",17712.1,"Correct",8,9,9,8,4,7,7,8
