"student.no","program","stats.exp","stats.anx","expected.grade","cat.dog","aus.animal","height","video.games","introversion2","introversion5","introversion7","introversion8","introversion10","pre.mood","post.mood","support.1","support.2","support.3","support.4","support.5","stress.1","stress.2","stress.3","stress.4","stress.5","sleep1","sleep2","sleep3","sleep4","sleep5","sleep6","navigation1","navigation2","navigation3","navigation4","navigation5","navigation6","navigation7","navigation8","navigation9","navigation10","navigation11","pathogen1","pathogen2","pathogen3","pathogen4","pathogen5","pathogen6","pathogen7","exercise.attitude.1","exercise.attitude.2","exercise.attitude.3","exercise.attitude.4","exercise.attitude.5","exercise.intention.1","exercise.intention.2","exercise.intention.3","exercise.intention.4","exercise.intention.5","exercise.control.1","exercise.control.2","exercise.control.3","exercise.norms.1","exercise.norms.2","exercise.norms.3","exercise.norms.4","exercise.norms.5","exercise.behaviour.1","exercise.behaviour.2","exercise.behaviour.3","exercise.behaviour.4","exercise.behaviour.5","stars.1","stars.2","stars.3","stars.4","stars.5","stars.6","stars.7","stars.8","stars.9","stars.10","stars.11","stars.12","stars.13","stars.14","stars.15","stars.16","stars.17","stars.18","stars.19","stars.20","stars.21","stars.22","stars.23","stars.24","stars.25","stars.26","stars.27","stars.28","stars.29","stars.30","stars.31","stars.32","stars.33","stars.34","stars.35","stars.36","stars.37","stars.38","stars.39","stars.40","stars.41","stars.42","stars.43","stars.44","stars.45","stars.46","stars.47","stars.48","stars.49","stars.50","stars.51","rotation_time","rotation_response","ingroup1","ingroup2","ingroup3","ingroup4","outgroup1","outgroup2","outgroup3","outgroup4"
25275376,"Conversion MSc",4,4,60,"both","wombat",174,"No",2,4,2,3,3,83,100,5,6,7,6,6,2,3,3,3,3,1,1,4,3,2,4,5,7,7,6,6,6,5,6,6,7,6,5,1,1,2,3,5,4,3,3,0,3,2,3,-1,3,3,-1,4,2,2,1,-1,2,2,0,6,5,2,3,5,4,2,2,4,3,2,4,5,2,5,2,1,4,3,4,3,2,1,4,2,3,1,4,1,3,1,1,1,1,1,1,1,2,1,2,2,1,2,1,2,1,1,2,4,3,1,1,1,1,2,2,3544.44000000298,"B",7,9,8,6,4,3,8,7
26937258,"Conversion MSc",3,7,60,"dog","kangaroo",163,"Yes",1,2,2,2,1,100,100,7,6,6,5,6,1,0,1,0,0,1,1,1,1,2,2,4,5,6,6,6,5,6,6,5,7,6,6,0,4,5,6,2,1,3,3,0,3,3,1,0,3,3,3,6,5,5,0,0,0,0,0,6,6,6,2,6,2,1,2,2,1,1,2,1,1,2,1,2,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,23480,"C",8,8,8,8,5,8,8,8
27172824,"Health MSc",7,6,67,"cat","echidna",178,"Yes",1,2,1,1,1,66,82,7,7,7,6,7,2,1,3,1,3,1,1,1,2,3,5,6,5,6,4,6,4,6,6,6,7,6,6,2,4,4,3,2,5,2,2,3,3,1,1,-1,-1,2,-3,4,4,2,-3,-3,-3,-2,-3,2,4,0,6,1,3,1,3,2,3,2,3,4,1,5,2,1,4,1,4,2,2,1,3,2,3,2,3,1,1,1,1,1,1,1,1,3,1,1,1,2,2,1,1,1,1,1,3,2,1,2,2,5,1,1,1,3360.92899995233,"C",7,7,4,8,2,6,7,4
27280372,"Conversion MSc",5,7,70,"dog","kangaroo",162.56,"Yes",1,1,3,2,1,66,72,5,7,2,2,7,4,4,4,4,4,1,2,3,4,5,5,6,5,3,4,1,2,2,2,3,6,4,6,1,4,6,5,5,5,3,1,-3,1,1,3,1,3,3,3,2,5,6,1,3,3,3,1,6,6,6,0,4,5,3,2,4,4,1,4,5,3,5,5,4,4,3,5,2,1,3,3,3,3,4,3,3,5,1,1,3,1,4,4,3,4,4,3,3,3,3,3,1,1,1,5,3,5,4,2,4,2,1,4,50973,"C",4,7,3,8,2,6,8,5
29128200,"Conversion MSc",1,9,70,"both","kangaroo",155,"No",1,3,3,2,2,75,74,5,7,6,5,6,3,1,3,2,2,3,3,3,4,3,3,4,4,4,4,4,6,4,6,5,4,7,5,3,4,3,3,5,3,1,1,0,1,1,0,0,0,0,0,3,3,3,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,18125.28,"A",5,6,6,5,5,5,5,5
29159857,"Conversion MSc",2,7,70,"neither","koala",158,"No",2,3,4,1,2,70,66,7,6,7,7,6,1,1,3,2,3,4,3,5,4,2,2,2,4,2,3,4,5,2,2,6,2,2,6,1,5,3,3,1,3,3,3,1,3,0,0,0,1,3,0,2,3,3,-2,0,0,1,-2,6,6,6,0,6,3,3,1,3,3,2,3,4,3,5,3,4,2,3,3,1,3,3,1,3,3,3,1,2,4,2,2,2,2,1,3,1,2,2,2,2,2,3,2,3,2,2,2,3,3,1,3,4,2,2,2,10205.6290000015,"C",6,6,6,6,6,6,6,6
29775452,"Conversion MSc",4,7,65,"both","platypus",183,"No",4,4,5,5,3,17,70,7,7,7,6,7,4,4,3,3,4,2,1,1,4,5,5,6,6,6,6,6,7,7,5,7,7,7,5,4,4,5,6,3,4,3,3,-3,3,0,3,-1,3,3,2,3,3,2,0,-1,0,3,-1,3,6,2,0,3,5,2,5,2,2,3,5,5,2,5,2,3,5,3,5,5,3,1,4,2,2,5,4,3,2,2,1,1,1,3,5,2,1,3,2,4,2,4,4,1,1,1,4,3,4,3,2,3,3,1,5,29116,"C",3,6,3,3,1,3,4,3
33889837,"Health MSc",6,7,70,"both","koala",170,"Yes",3,4,3,3,2,81,100,7,7,5,3,7,3,4,2,3,3,1,5,2,2,5,5,1,1,1,5,2,3,1,1,2,1,2,6,0,4,6,6,6,2,1,-3,3,1,0,3,-1,3,0,3,0,0,2,3,2,3,3,1,4,4,0,0,0,3,4,1,3,2,1,4,5,2,5,3,2,5,2,5,1,2,5,5,3,3,5,3,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,2,3,1,1,1,6351.903,"C",5,8,8,4,1,5,3,2
36284386,"Conversion MSc",1,9,55,"dog","koala",152,"No",1,1,1,1,3,83,83,7,7,6,6,7,1,1,2,2,1,1,1,1,2,2,2,2,4,2,3,3,5,3,3,3,4,3,5,0,1,5,0,1,0,3,3,-1,3,0,0,-1,3,3,-1,5,5,5,-3,-3,1,2,-3,5,6,1,0,6,4,4,1,4,4,3,3,5,3,2,4,3,2,4,4,1,3,1,1,2,4,4,1,1,5,2,1,1,1,1,3,1,1,2,3,2,3,4,3,4,2,1,3,1,5,4,4,3,1,1,4,15830.884,"C",8,8,8,8,7,8,8,8
36521349,"Conversion MSc",5,8,70,"dog","koala",181,"No",1,1,1,1,1,65,62,6,6,7,7,6,4,3,4,4,3,2,2,3,3,5,2,4,1,2,1,3,4,2,3,3,7,3,6,1,3,6,5,3,6,3,3,3,3,3,3,0,0,2,0,5,6,6,-2,-2,3,3,-3,6,4,2,3,6,3,2,3,3,3,3,3,5,2,5,4,2,3,4,5,3,1,3,3,2,1,4,2,1,1,1,1,2,1,1,1,1,1,1,1,1,3,1,3,1,1,1,5,1,1,4,1,3,1,1,3,22132.9099999762,"C",4,8,5,8,4,6,8,5
37736466,"Health MSc",7,8,65,"cat","platypus",167,"No",2,2,3,2,2,63,83,7,7,6,6,7,1,4,3,2,3,2,3,4,3,5,4,3,4,2,1,2,3,5,5,1,3,2,4,2,4,5,5,6,1,1,1,-2,1,-2,0,-2,1,2,0,5,3,5,-3,-3,-1,2,-2,0,4,0,3,0,4,4,2,3,2,2,4,5,2,5,2,2,3,1,5,2,2,1,4,4,2,5,5,2,4,2,1,2,1,1,5,1,1,4,4,4,4,4,4,4,1,1,2,4,2,2,1,2,2,1,4,34395.66,"A",7,8,4,6,1,7,3,7
37813676,"Other Research MSc",7,5,60,"both","koala",167,"Yes",2,4,2,1,2,64,64,5,6,4,4,7,3,4,4,3,3,2,1,3,3,4,4,5,3,2,4,2,6,5,5,4,4,3,5,3,2,4,5,5,6,1,1,1,2,0,1,-1,0,0,-3,5,4,5,0,-3,-1,0,-3,0,3,0,2,6,3,2,5,2,2,1,4,2,2,1,3,3,2,2,2,5,1,1,5,2,1,2,5,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,2,3,1,2,1,2,1,1,1,5505.787,"B",7,6,3,6,4,6,6,6
37959414,"Other Research MSc",6,7,73,"neither","kangaroo",160,"No",5,2,3,3,4,66,73,7,7,4,5,7,2,3,3,4,3,NA,NA,NA,NA,NA,NA,2,7,3,7,6,5,3,1,7,2,1,6,4,3,6,6,5,5,3,-1,-1,1,-1,1,-2,3,-1,2,6,6,6,3,3,3,3,3,0,0,0,6,0,5,5,5,5,5,5,5,5,1,5,4,4,5,5,5,5,1,3,5,5,5,4,1,5,1,3,1,5,1,5,5,1,3,5,1,5,5,1,5,1,5,3,5,5,2,3,1,1,1,1,4,9928,"A",9,9,8,6,9,6,9,9
38469581,"Other Research MSc",3,9,60,"cat","koala",180,"Yes",2,2,3,3,3,66,92,6,7,6,6,7,1,2,3,1,1,1,1,1,1,2,1,1,1,1,1,1,5,3,1,7,3,4,5,4,4,5,5,6,6,1,1,3,1,1,2,0,2,0,2,4,0,3,-1,1,1,1,-1,1,1,0,0,0,5,5,4,3,4,5,5,5,3,5,5,3,4,5,5,3,2,3,3,5,2,5,3,1,5,1,1,2,1,1,5,1,1,5,4,2,5,5,1,1,1,1,4,1,4,1,5,4,1,3,5,11090.158,"C",5,5,5,5,3,5,5,5
41656167,"Other Research MSc",5,3,80,"dog","koala",167,"Yes",2,4,4,5,4,58,71,5,6,5,2,6,3,3,3,2,2,2,1,2,2,4,3,2,5,2,2,1,1,1,2,3,5,5,6,2,6,6,5,6,6,3,3,3,3,2,1,-1,3,3,-1,4,3,4,3,-2,3,3,-3,2,6,0,6,2,2,3,4,3,3,2,2,3,2,5,1,3,4,1,5,4,1,4,3,2,2,3,5,1,2,1,1,1,1,1,1,1,1,1,1,4,3,3,2,1,1,1,2,5,2,1,1,3,1,1,2,13940.1469999881,"C",6,8,4,8,1,4,6,4
41943019,"Conversion MSc",3,7,58,"both","koala",163,"Yes",3,3,4,4,3,53,59,5,6,4,3,6,2,3,3,3,3,2,1,3,3,3,2,5,4,5,5,5,3,3,3,5,4,5,3,2,3,3,2,3,2,2,2,0,2,1,1,-2,1,2,-2,4,3,5,-2,-2,1,1,-2,5,4,5,1,5,4,2,4,3,2,2,2,4,1,5,2,3,4,2,5,4,3,1,3,2,4,4,2,2,5,2,2,3,1,2,3,1,2,3,1,3,2,3,4,3,2,3,2,2,1,3,2,4,3,2,4,5297.85199995232,"C",6,7,7,7,6,6,7,7
42297216,"Conversion MSc",5,5,65,"both","kangaroo",185,"Yes",1,2,2,1,2,80,80,6,6,6,4,4,2,1,2,2,1,1,1,2,1,2,1,7,6,7,7,7,5,7,7,4,7,5,4,6,2,6,2,4,6,2,3,-3,3,1,-3,-3,3,-3,-3,6,6,6,-3,-3,0,-3,-3,4,6,0,4,1,2,2,1,3,2,2,2,3,2,2,2,2,1,2,2,1,1,1,1,2,2,1,1,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6041,"A",5,5,6,6,3,6,6,3
43311139,"Health MSc",4,7,51,"dog","koala",160,"No",2,2,2,2,2,54,73,6,6,7,6,7,3,3,2,2,2,2,1,3,3,4,3,5,7,4,6,5,7,6,6,5,6,6,4,4,5,6,6,6,6,3,3,3,3,3,1,1,1,1,1,5,4,5,-1,-1,-1,-1,-1,6,6,6,4,6,4,4,4,5,4,4,3,5,3,5,4,4,4,4,5,4,4,4,4,4,4,5,3,4,5,4,3,4,4,1,5,1,3,4,4,4,4,4,3,5,2,3,4,4,4,3,3,4,4,4,3,5355,"A",5,7,6,6,2,5,5,7
43629612,"Health MSc",6,7,58,"dog","wombat",161,"No",2,3,3,1,1,67,85,5,6,7,7,7,2,1,1,2,1,1,1,3,2,2,3,2,2,5,2,2,5,5,5,1,5,1,6,2,5,3,4,1,6,1,0,2,3,1,1,1,2,2,-1,5,3,1,2,0,3,3,2,0,5,0,0,0,3,2,3,3,2,1,4,5,1,5,2,2,4,1,4,2,2,1,3,3,4,2,1,3,3,2,1,3,1,2,2,1,1,4,2,4,1,4,4,1,1,1,3,2,3,4,1,4,1,1,4,4079,"C",8,9,4,6,5,6,7,8
44714720,"Conversion MSc",2,1,80,"dog","koala",164,"No",1,4,4,1,4,93,90,7,7,1,7,7,2,1,2,2,1,2,1,2,2,2,2,2,5,4,2,1,2,2,5,2,6,2,2,0,0,4,1,6,2,2,1,0,2,0,3,-1,3,3,-1,6,4,4,3,-1,3,1,-1,4,3,1,1,4,2,2,1,1,1,1,1,2,1,2,3,3,2,2,2,1,1,1,1,2,1,1,1,1,4,1,1,2,1,2,1,2,1,1,1,3,2,2,2,1,1,1,2,2,2,2,1,2,1,1,2,16194.4530000954,"C",4,7,7,6,3,4,6,3
44770071,"Conversion MSc",3,7,65,"dog","koala",167,"Yes",1,1,1,1,1,64,74,6,6,7,7,6,3,3,4,3,3,5,5,5,5,5,5,6,6,7,6,6,6,6,7,7,7,7,5,1,5,4,5,6,2,3,1,3,3,1,1,-1,0,1,3,4,3,6,-1,-3,1,1,0,0,4,4,0,4,3,4,2,3,4,4,4,5,3,5,4,5,2,4,5,2,5,3,4,5,3,4,3,3,4,4,3,3,2,2,4,2,3,4,4,4,5,4,4,5,1,3,4,4,5,3,2,4,5,3,4,13401,"A",6,8,7,7,5,6,7,7
45084846,"Conversion MSc",1,5,60,"dog","koala",168,"No",2,3,3,2,2,62,58,7,7,7,7,7,2,1,2,1,1,NA,NA,NA,NA,NA,NA,3,2,2,3,3,4,4,2,3,4,3,6,5,6,6,4,6,6,2,3,-3,2,3,2,2,2,2,2,3,3,3,0,-1,0,1,0,0,6,0,0,0,4,4,2,3,2,3,3,4,2,4,3,4,3,4,4,2,1,3,3,4,2,4,5,1,2,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,2,1,1,2,1,1,1,1,3,28016.31,"C",7,8,7,8,6,7,8,8
45932367,"Health MSc",3,7,64,"both","wombat",168,"Yes",4,4,4,5,4,22,62,6,6,6,5,6,3,4,4,4,4,3,3,3,5,5,4,3,2,1,1,3,1,2,1,2,1,1,5,2,4,5,3,5,2,2,1,-1,1,0,1,-2,2,3,1,2,2,3,-2,-2,2,2,-2,5,4,0,0,5,5,3,4,4,4,3,5,5,3,5,4,4,4,3,5,4,3,4,5,4,5,5,5,2,4,1,1,2,1,1,4,1,2,3,1,3,2,4,2,2,1,1,2,2,2,2,2,3,1,2,3,5079.76800000298,"B",7,7,6,7,3,5,6,6
46002272,"Conversion MSc",4,1,90,"dog","koala",170,"No",4,4,1,2,3,71,68,2,2,7,7,7,2,1,2,2,0,1,1,1,1,1,1,7,7,7,7,7,7,7,7,7,7,7,5,4,6,6,6,2,6,3,3,-3,3,3,1,-1,3,3,-3,6,6,6,-3,-3,2,2,-3,6,6,6,2,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19878.2060000119,"A",9,8,8,9,8,8,5,7
46072641,"Conversion MSc",1,1,60,"dog","kangaroo",1.53,"No",2,2,2,2,2,50,43,6,6,6,6,6,2,2,3,2,2,4,3,4,3,3,4,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,1,1,3,1,1,1,3,1,3,3,3,3,2,3,1,3,3,3,0,0,0,0,0,4,5,5,5,5,4,3,5,5,5,5,5,5,5,5,3,5,5,3,5,5,5,3,1,2,1,1,1,1,1,1,1,3,4,1,1,1,1,1,1,1,1,2,1,1,1,1,3,1,1,1,3364,"B",4,6,8,6,5,6,8,5
46458951,"Health MSc",7,6,70,"dog","koala",162,"No",2,4,3,2,2,70,70,6,6,7,7,6,1,3,3,2,1,NA,NA,NA,NA,NA,NA,4,5,6,6,6,7,6,6,6,6,5,6,1,2,6,5,6,3,3,3,-2,3,3,3,3,3,3,3,6,4,5,1,1,1,1,1,6,6,6,0,6,5,4,5,4,4,4,5,5,4,5,4,3,5,2,5,5,2,4,5,5,5,5,4,3,2,2,1,3,1,1,1,1,2,2,1,4,5,2,4,4,1,2,4,1,4,1,1,4,2,3,2,17397,"C",6,8,7,7,4,4,3,3
47051848,"Conversion MSc",6,6,100,"cat","kangaroo",170,"Yes",1,1,1,5,5,90,95,7,7,6,7,6,3,3,2,2,2,5,4,2,5,4,3,4,7,7,5,7,6,7,6,7,2,6,6,5,2,3,6,1,6,2,2,3,2,3,3,3,3,3,3,1,0,2,3,3,3,3,3,3,4,0,0,3,4,2,2,2,2,3,4,4,4,4,2,2,4,1,4,4,2,4,1,3,3,1,4,1,5,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,2,48727.135,"C",9,9,8,9,1,6,7,9
47973173,"Health MSc",6,5,65,"both","platypus",181,"Yes",3,4,4,4,4,52,65,7,7,5,5,7,2,2,3,3,2,2,2,2,3,4,5,7,7,7,5,6,6,5,3,7,5,6,3,4,2,6,2,3,2,-1,0,1,1,-1,1,-3,1,1,-1,4,2,1,1,-3,1,3,-3,4,1,0,0,0,4,1,4,4,1,2,4,2,1,5,3,2,3,2,4,2,1,3,2,3,3,1,2,2,5,2,1,3,3,3,2,5,3,5,5,2,5,2,4,3,1,2,5,5,5,4,3,4,3,2,2,18654.479,"C",6,6,6,6,5,6,6,6
48273554,"Conversion MSc",1,2,50,"cat","koala",150,"No",4,5,3,4,2,66,66,4,4,6,4,4,2,2,2,2,2,2,2,2,2,5,5,4,4,4,4,4,4,4,4,4,7,4,6,3,6,0,6,3,6,1,1,0,1,1,0,0,0,3,0,4,4,4,0,0,0,3,0,0,6,0,0,0,3,3,5,3,3,3,3,5,3,5,3,3,3,3,5,5,3,5,5,3,3,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,11207.1040000358,"A",4,9,5,5,1,7,7,3
49177900,"Conversion MSc",3,7,70,"both","koala",170,"Yes",2,1,1,2,2,60,84,5,3,3,5,5,3,4,4,3,1,1,2,5,2,4,3,5,6,7,6,6,6,6,6,2,5,3,3,4,1,0,5,3,2,2,-1,2,3,2,3,2,3,3,3,6,2,5,0,-1,1,3,0,4,2,0,1,3,2,3,2,3,2,2,4,5,4,4,2,2,4,3,4,1,2,5,4,3,3,5,1,2,2,3,2,3,1,2,1,1,2,2,1,2,2,2,3,2,2,1,3,4,4,4,2,4,1,2,3,8808,"C",5,9,9,7,7,8,5,4
50208335,"Conversion MSc",6,8,55,"cat","kangaroo",151,"Yes",3,4,4,3,4,39,55,3,2,4,4,2,3,1,3,3,3,3,3,5,5,5,3,3,4,2,3,3,3,4,2,3,3,4,4,1,1,4,3,4,2,1,0,-1,1,0,0,-1,1,0,1,4,2,3,-1,-1,1,1,0,4,2,2,6,4,4,3,4,5,4,4,5,5,4,5,3,3,4,2,5,4,4,3,4,4,4,5,4,3,3,2,2,3,3,3,3,3,2,4,2,4,3,4,4,3,1,2,4,4,2,2,3,3,3,2,3,16105,"C",6,8,6,7,5,6,7,7
50388595,"Other Research MSc",3,8,75,"both","platypus",170,"Yes",5,4,3,4,4,76,87,6,7,7,5,7,3,3,4,3,3,2,2,5,4,5,5,2,2,2,1,2,1,2,1,4,2,3,5,4,6,5,6,4,5,3,3,3,3,3,3,-3,3,3,3,4,3,5,1,-3,1,3,-3,5,5,0,5,5,4,2,1,4,2,1,3,4,2,4,4,4,4,1,5,3,2,3,5,2,4,5,2,1,3,1,1,1,1,1,3,1,1,2,1,2,1,2,1,3,1,1,2,1,1,3,1,3,1,1,2,4781,"C",5,9,4,6,3,5,7,8
