"student.no","program","stats.exp","stats.anx","expected.grade","cat.dog","aus.animal","height","video.games","introversion2","introversion5","introversion7","introversion8","introversion10","pre.drink","post.drink","support.1","support.2","support.3","support.4","support.5","stress.1","stress.2","stress.3","stress.4","stress.5","sleep1","sleep2","sleep3","sleep4","sleep5","sleep6","exercise.attitude.1","exercise.attitude.2","exercise.attitude.3","exercise.attitude.4","exercise.attitude.5","exercise.intention.1","exercise.intention.2","exercise.intention.3","exercise.intention.4","exercise.intention.5","exercise.control.1","exercise.control.2","exercise.control.3","exercise.norms.1","exercise.norms.2","exercise.norms.3","exercise.norms.4","exercise.norms.5","exercise.behaviour.1","exercise.behaviour.2","exercise.behaviour.3","exercise.behaviour.4","exercise.behaviour.5","navigation1","navigation2","navigation3","navigation4","navigation5","stars.1","stars.2","stars.3","stars.4","stars.5","stars.6","stars.7","stars.8","stars.9","stars.10","stars.11","stars.12","stars.13","stars.14","stars.15","stars.16","stars.17","stars.18","stars.19","stars.20","stars.21","stars.22","stars.23","stars.24","stars.25","stars.26","stars.27","stars.28","stars.29","stars.30","stars.31","stars.32","stars.33","stars.34","stars.35","stars.36","stars.37","stars.38","stars.39","stars.40","stars.41","stars.42","stars.43","stars.44","stars.45","stars.46","stars.47","stars.48","stars.49","stars.50","stars.51","rotation_time","rotation_response","pathogen1","pathogen2","pathogen3","pathogen4","pathogen5","pathogen6","pathogen7","male1","male2","male3","female1","female2","female3"
24779705,"Conversion MSc",1,6,92,"neither","kangaroo",16000,"No",4,3,2,4,2,0,0,5,4,6,6,5,2,2,4,4,4,1,1,1,2,2,2,3,3,1,3,3,1,-3,1,3,3,5,4,4,-3,-2,-3,0,-2,0,6,0,0,6,6,4,6,5,7,3,3,1,3,3,4,3,3,3,4,3,5,1,2,2,1,3,1,1,2,3,2,1,1,2,1,2,2,1,1,2,1,1,1,1,3,2,1,3,2,1,1,1,2,1,1,1,2,1,1,3,67.309,"C",2,1,0,6,0,1,0,5,5,5,5,5,5
26181513,"Conversion MSc",4,7,65,"dog","koala",170.18,"Yes",4,4,4,4,4,10,10,6,6,5,5,6,2,2,4,2,2,1,1,1,2,5,5,2,1,0,2,0,1,0,1,1,0,4,3,4,0,1,2,2,2,4,5,2,2,4,5,3,5,5,5,4,4,2,3,4,3,5,4,1,3,4,4,3,3,4,2,2,2,3,3,3,4,3,2,3,2,3,3,1,2,2,2,2,2,2,2,3,2,3,2,3,3,2,2,4,3,2,3,3,3,4,12.772,"C",5,1,3,6,4,4,3,4,5,4,7,6,5
26563628,"Health MSc",5,6,75,"dog","koala",172.72,"Yes",3,2,2,4,2,0,NA,7,7,6,6,7,1,3,4,2,3,5,5,5,5,5,5,1,1,-1,0,-1,1,1,1,1,1,3,2,2,1,0,1,1,1,0,6,0,0,2,6,6,6,6,5,3,2,1,3,2,2,3,5,2,5,3,1,2,3,5,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,3,1,1,2,1,1,1,1,2,1,1,1,2,1,1,1,8.952,"A",1,2,4,3,4,5,4,5,5,5,5,5,5
26815237,"Conversion MSc",2,8,60,"both","platypus",170.5,"Yes",2,1,3,4,1,0,0,2,4,4,3,5,2,1,2,4,3,2,2,2,2,4,2,3,3,-1,3,3,3,-1,3,3,3,4,4,3,-1,3,1,3,1,0,6,0,6,4,4,1,1,1,1,5,2,1,4,3,2,3,5,3,5,3,3,2,5,5,2,1,1,2,4,5,4,2,1,5,1,1,1,1,1,5,1,1,1,1,4,2,3,3,5,1,1,1,2,1,1,2,5,1,1,3,24.18,"C",4,0,5,5,2,3,3,NA,NA,NA,NA,NA,NA
27163857,"Conversion MSc",6,5,80,"dog","koala",185,"Yes",5,5,5,5,5,15,15,6,6,7,7,7,2,1,2,3,3,2,2,4,3,5,3,3,3,3,3,3,3,0,3,0,0,3,3,4,3,3,0,3,0,6,6,4,5,6,7,5,5,6,7,2,2,3,2,2,3,3,2,2,2,4,2,3,4,2,2,4,2,3,3,2,2,3,1,5,1,2,1,2,1,5,1,2,3,1,4,2,2,3,1,2,1,1,1,2,1,2,5,1,1,1,27.58,"C",3,2,3,3,6,1,3,5,5,6,5,6,3
28088607,"Other Research MSc",6,1,75,"dog","koala",165,"Yes",3,2,2,1,3,1,1,3,3,4,3,3,3,2,3,3,2,1,1,3,2,5,5,1,1,-1,3,0,0,-3,0,-1,0,3,0,0,1,1,-3,1,1,0,5,0,0,0,3,6,2,5,4,1,2,1,1,1,1,2,1,1,1,1,1,2,2,1,1,1,2,4,1,1,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14.546,"C",4,1,2,1,3,1,1,5,4,6,9,9,9
28229547,"Conversion MSc",2,3,85,"both","kangaroo",172,"Yes",4,3,4,5,2,4,8,7,7,5,6,7,2,1,2,3,4,1,1,1,1,3,2,3,3,3,3,3,3,3,3,3,3,6,6,6,-3,-3,-3,-3,-3,6,4,0,0,6,5,2,1,2,2,1,1,1,1,1,1,2,2,1,3,1,2,3,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,5,2,1,1,3,1,1,1,1,1,1,1,1,3,1,1,1,8.661,"A",0,0,0,1,0,0,3,5,5,5,5,5,5
29739378,"Conversion MSc",1,4,70,"both","koala",180,"Yes",4,2,4,4,2,0,0,7,7,7,7,7,0,0,2,4,4,2,2,2,2,1,1,3,3,-3,3,3,1,-3,1,-1,1,4,3,2,-1,-1,-1,-1,-1,0,6,0,0,2,2,2,5,2,3,3,2,1,1,1,2,3,4,2,4,3,2,4,2,4,1,3,1,1,3,1,2,1,1,3,1,1,1,1,1,1,1,1,1,1,3,1,2,2,1,1,1,2,1,1,1,1,3,1,1,2,19.06,"C",4,0,2,2,4,0,1,4,6,3,5,4,4
33374488,"Health MSc",6,5,70,"dog","koala",177,"No",5,4,5,3,4,0,0,6,6,7,7,7,2,1,2,3,4,1,1,2,1,3,5,3,3,-3,3,1,3,2,3,3,2,5,5,6,1,1,1,1,3,0,6,6,0,4,7,6,6,6,5,3,1,4,3,3,1,4,3,3,3,2,2,4,1,3,4,2,1,4,3,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,2,10.086,"B",6,2,4,5,5,4,4,5,6,4,7,7,7
34400097,"Health MSc",5,3,93,"both","koala",146,"No",4,4,3,4,4,4,4,7,7,7,7,7,3,3,2,3,3,1,1,2,1,4,4,3,3,-1,3,1,2,-2,2,1,1,5,3,4,-1,0,-2,1,-1,0,5,0,0,0,5,5,6,4,6,3,1,4,3,3,1,3,4,1,2,3,1,3,1,4,1,1,1,1,1,3,3,1,2,2,2,2,2,1,2,2,2,2,2,2,4,4,2,3,2,1,2,3,5,3,2,1,4,2,2,2,11.648,"B",5,3,5,6,6,2,4,3,6,6,1,2,3
34432630,"Conversion MSc",5,7,50,"both","echidna",201,"Yes",5,5,3,4,5,NA,NA,5,6,7,7,7,2,3,3,2,2,2,1,4,3,3,3,3,3,-1,3,0,0,1,0,1,1,4,4,3,2,2,2,2,2,6,6,0,0,6,7,5,4,5,3,5,2,4,4,1,1,5,5,1,5,1,1,2,4,5,1,1,2,2,1,4,5,2,1,4,1,1,1,1,1,1,1,1,3,1,3,1,2,1,1,1,1,1,3,2,2,1,3,1,1,2,16.491,"B",6,3,0,5,4,4,3,5,5,5,5,5,5
35531321,"Conversion MSc",1,5,60,"both","kangaroo",185,"No",4,4,3,3,4,0,NA,4,4,6,5,4,2,2,2,2,3,1,1,1,2,1,2,1,1,0,1,0,1,0,1,1,0,5,3,3,0,0,0,0,0,0,6,0,2,4,7,4,3,4,3,2,2,2,3,3,3,2,3,2,3,3,2,3,2,2,1,2,1,3,2,3,3,2,3,4,3,2,3,3,1,2,1,3,3,2,3,3,3,4,3,3,3,3,3,3,3,2,3,3,3,3,11.394,"A",4,2,5,2,4,0,3,5,6,5,6,7,7
39402415,"Conversion MSc",5,6,65,"dog","koala",170,"No",5,4,4,5,4,2,2,6,6,6,6,6,1,2,4,3,4,2,1,2,2,4,4,3,3,-1,3,3,0,0,0,1,0,6,4,6,2,2,2,2,2,6,6,4,3,6,5,3,3,5,4,5,5,3,4,3,3,4,5,2,4,2,4,5,2,4,2,4,4,2,2,4,4,3,4,4,1,1,2,1,4,3,4,2,4,2,2,2,4,4,3,1,2,4,4,4,4,1,4,2,1,1,10.296,"C",6,3,2,6,3,5,6,4,9,6,9,6,7
40468529,"Conversion MSc",1,2,61,"cat","koala",179,"No",4,4,2,4,4,5,5,7,7,7,7,7,1,1,3,3,3,4,2,4,4,4,4,3,1,-3,3,1,2,0,2,2,0,4,3,3,-1,-1,-1,2,2,0,5,5,0,0,7,6,5,5,6,3,3,1,3,4,4,4,4,1,4,3,4,4,4,4,1,4,4,3,4,2,2,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2,1,1,1,1,1,2,1,15.918,"B",5,1,4,1,4,1,3,4,7,4,2,7,4
40743780,"Conversion MSc",2,4,65,"both","kangaroo",163,"Yes",4,4,5,4,4,0,0,6,6,7,7,7,2,2,4,3,3,2,1,4,3,4,5,3,2,-1,3,3,2,2,2,3,1,5,4,3,-1,1,2,0,3,2,6,6,4,2,6,6,6,6,6,3,3,2,4,4,3,3,4,4,4,4,4,4,4,4,2,2,2,2,3,2,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,176.884,"C",2,0,1,3,2,1,3,7,6,5,6,7,5
40975375,"Other Research MSc",5,1,81,"cat","kangaroo",178,"Yes",2,2,3,3,1,0,0,6,3,6,3,2,0,1,2,4,3,2,2,4,2,1,1,3,0,-3,3,2,3,-3,2,-3,-3,2,2,5,-3,-3,-3,2,-3,4,6,0,6,5,7,7,7,7,7,2,1,4,1,1,1,4,3,1,3,1,1,1,5,3,4,1,1,5,1,1,3,5,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,3,4,1,2,4,1,2,1,1,2,1,1,12.796,"C",5,0,1,5,5,6,0,1,4,5,5,5,2
41062226,"Conversion MSc",3,5,75,"dog","koala",157,"No",4,3,2,4,3,1,1,6,6,6,4,6,2,2,3,3,3,2,2,2,2,4,4,2,1,-1,3,2,1,-2,3,2,-3,4,5,3,2,2,-2,2,2,0,6,0,0,2,4,3,2,3,4,3,4,3,3,4,3,5,3,1,5,5,3,4,4,2,3,1,2,2,3,2,4,3,1,3,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,3,22.207,"C",2,4,4,2,3,6,5,5,5,4,6,6,6
43449921,"Health MSc",5,9,65,"dog","echidna",157,"Yes",5,5,5,5,5,30,NA,3,3,7,7,3,4,3,4,3,2,5,5,5,5,5,5,3,3,-1,3,3,1,-3,3,3,0,4,5,6,NA,NA,NA,NA,NA,6,6,1,0,6,6,4,4,4,4,5,4,3,4,2,4,5,5,3,5,4,5,5,4,5,3,3,4,3,4,5,5,3,1,5,1,2,3,2,3,4,1,2,5,2,4,5,4,2,3,1,2,5,4,2,4,4,2,2,2,5,8.974,"C",3,1,2,4,2,0,4,5,5,5,5,5,5
44873038,"Conversion MSc",6,5,70,"dog","koala",162.56,"Yes",4,4,4,5,3,4,2,4,2,6,4,4,3,3,3,4,2,5,4,5,3,4,3,1,1,-1,1,1,1,1,1,2,1,4,3,4,0,0,1,1,1,5,2,4,4,5,7,5,5,6,5,3,3,2,3,4,3,3,3,1,4,3,3,4,4,3,2,2,3,3,3,3,3,3,1,2,1,1,1,1,1,3,1,1,1,1,2,2,1,2,1,1,1,3,3,1,1,1,2,1,3,3,29.885,"C",3,2,2,3,2,5,3,5,6,4,5,5,4
45750699,"Health MSc",5,8,90,"both","platypus",163,"No",4,1,3,3,3,NA,NA,5,5,7,6,5,2,1,3,3,3,1,1,1,1,1,1,2,3,3,3,3,2,1,2,2,1,4,5,6,2,2,2,2,2,6,5,4,5,6,4,5,6,6,6,5,4,5,4,4,4,4,5,3,4,4,3,4,4,4,5,3,3,5,4,5,3,5,2,3,2,2,4,2,4,1,2,1,1,1,2,2,3,4,2,1,1,5,3,4,4,2,5,3,2,3,18.983,"C",4,1,1,5,5,5,0,3,4,5,5,5,5
46139250,"Conversion MSc",4,7,55,"both","koala",165,"Yes",4,4,4,4,3,0,0,7,7,7,7,7,1,3,3,2,3,3,2,3,4,4,4,3,1,-1,3,1,1,1,1,1,1,5,2,5,2,2,2,2,2,2,4,6,0,2,5,5,5,4,5,5,4,2,4,2,4,3,4,1,5,3,4,5,3,5,2,5,1,2,4,4,5,2,3,5,3,2,3,2,3,5,1,5,5,5,4,4,3,5,4,2,3,4,4,5,3,1,5,3,3,4,8.029,"C",4,5,5,6,6,6,4,3,5,1,4,6,4
47331444,"Other Research MSc",5,7,55,"cat","kangaroo",170,"Yes",1,1,1,1,4,12,10,7,7,7,5,7,1,4,4,2,2,2,1,3,3,4,5,-1,-3,1,0,-1,1,0,1,-3,1,0,0,0,3,3,3,3,3,0,0,0,0,0,5,3,2,1,1,3,4,5,2,3,2,4,4,3,5,4,4,5,3,5,5,2,3,5,5,4,3,5,1,4,1,1,1,1,1,1,1,1,1,1,2,1,3,2,1,1,3,1,1,3,1,1,4,1,1,5,9.419,"C",5,0,3,6,4,6,4,5,4,4,3,3,2
47794858,"Conversion MSc",2,4,75,"dog","koala",170,"No",4,5,3,4,4,8,8,1,1,1,1,1,2,2,2,4,3,1,1,2,2,3,3,3,3,-2,1,-1,2,-1,1,1,2,6,5,6,-3,-2,-3,-2,2,0,6,6,0,6,1,2,1,2,1,2,4,2,3,3,4,3,2,2,2,4,1,2,3,3,1,2,1,3,4,3,1,1,3,1,2,1,1,1,2,1,2,2,1,3,3,1,1,1,4,1,1,4,3,4,2,1,2,2,1,4,16.735,"C",5,3,6,2,6,5,2,4,7,4,4,8,6
48515785,"Conversion MSc",7,2,80,"both","wombat",165,"No",5,4,4,4,4,1,1,5,5,6,6,3,3,3,4,3,3,2,1,5,4,5,5,3,2,1,3,0,2,1,2,2,2,6,3,4,-2,-2,-2,1,1,5,5,4,3,5,6,5,6,5,6,3,1,3,4,1,1,2,5,1,4,1,3,1,1,5,2,1,2,2,1,2,3,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,13.022,"A",6,3,6,5,5,6,5,2,2,2,2,1,2
49574167,"Other Research MSc",6,7,100,"both","platypus",154,"No",4,4,3,4,4,4,3,6,6,6,6,6,4,4,4,4,2,3,3,4,4,5,5,3,3,2,2,2,3,1,3,3,1,4,4,6,-3,-2,-3,-1,2,6,6,6,6,6,4,4,4,4,4,4,4,4,4,4,4,5,5,1,5,3,3,4,3,5,3,1,4,3,4,4,4,4,1,2,1,2,3,2,2,2,2,3,1,1,3,3,2,1,1,1,2,1,2,2,1,1,1,2,2,3,11.513,"B",6,1,5,6,5,6,6,5,6,5,5,5,5
50045850,"Health MSc",3,7,65,"cat","kangaroo",152,"No",4,2,4,4,4,0,0,6,6,6,6,6,1,2,2,3,3,3,2,1,1,2,1,3,3,2,3,3,3,3,3,3,3,6,6,6,-1,-1,-1,1,2,6,6,6,6,6,4,6,6,6,6,4,4,2,3,3,3,4,5,2,5,2,4,4,2,4,3,1,3,3,4,3,3,3,2,2,2,2,2,2,1,3,2,2,2,2,2,2,3,2,2,2,2,4,2,1,2,2,4,2,2,2,13.886,"C",6,1,4,4,3,4,4,6,6,6,6,6,6
50087211,"Conversion MSc",3,5,65,"both","wombat",166,"No",4,2,4,2,1,NA,NA,6,7,7,7,7,3,3,4,3,2,3,1,4,5,4,4,3,3,-1,3,2,3,-3,3,3,-3,5,4,5,0,1,-1,1,1,0,6,6,0,5,2,2,1,5,4,2,3,2,2,3,1,5,3,4,3,3,2,5,3,4,2,3,2,1,4,4,3,1,1,3,1,1,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,3,1,1,1,1,3,1,1,3,10.922,"C",6,4,3,5,3,6,6,2,4,2,3,4,4
50311419,"Health MSc",5,5,65,"dog","kangaroo",170,"No",1,2,1,1,1,NA,NA,4,4,4,3,4,4,3,4,2,1,3,1,4,3,5,4,1,1,-1,3,-1,3,-3,3,3,-1,6,2,4,-3,-3,-3,3,3,0,6,6,0,6,4,2,1,1,4,5,3,3,3,3,2,5,5,1,5,3,3,4,3,5,3,2,1,3,3,3,3,3,3,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,2,3,1,1,1,4,1,1,1,19.58,"C",0,5,6,5,6,4,1,5,5,3,3,3,5
51488584,"Conversion MSc",1,9,73,"both","koala",162,"Yes",4,3,4,4,2,14,14,5,5,6,5,5,2,1,2,3,3,3,2,2,2,3,4,1,1,-1,1,1,1,-1,1,1,1,2,2,2,-1,1,-1,1,1,0,4,0,0,0,2,1,1,3,1,4,4,4,4,5,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,5,2,2,3,1,2,2,2,2,2,1,2,2,3,3,3,2,2,2,2,2,2,4,2,2,4,2,2,4,18.342,"A",6,2,3,4,4,6,2,5,5,5,5,5,5
51603561,"Conversion MSc",1,9,68,"cat","koala",170,"No",2,2,3,2,2,0,0,6,6,3,2,6,2,2,3,3,2,4,1,5,5,5,5,0,0,1,0,0,1,1,1,1,1,6,3,6,0,0,0,0,0,0,4,0,0,0,4,5,2,3,2,4,4,2,3,3,4,4,5,4,5,4,4,4,4,5,2,3,5,1,4,4,4,4,3,4,3,2,3,3,3,3,1,3,4,1,4,3,3,3,3,2,3,4,4,4,4,3,3,2,3,3,15.244,"C",5,3,4,2,5,5,5,6,5,5,4,7,5
53878954,"Conversion MSc",1,5,75,"both","platypus",176,"Yes",4,3,4,4,3,0,0,6,6,4,6,6,2,2,2,3,3,4,1,2,3,2,1,0,0,-3,3,0,-3,-3,0,0,-3,4,2,2,-3,1,-3,1,1,0,6,0,0,4,4,4,5,5,5,2,2,4,2,3,2,3,3,1,3,3,2,2,3,3,4,3,2,4,3,2,2,4,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,24.998,"C",6,3,6,3,5,5,2,6,6,4,6,6,5
54356540,"Other Research MSc",4,8,70,"both","platypus",160,"Yes",4,4,4,4,1,10,10,7,7,7,7,7,2,1,2,3,3,1,1,2,2,2,1,2,1,2,2,1,2,1,2,2,1,6,6,6,-1,1,1,1,1,6,6,6,6,6,5,3,2,5,6,4,4,4,4,4,3,4,5,2,5,3,2,4,4,5,2,1,2,2,5,5,4,2,2,3,2,1,2,2,1,4,1,1,3,1,3,4,4,4,2,1,1,4,4,4,4,2,4,1,1,4,7.794,"A",6,1,3,6,6,6,6,4,6,3,3,7,7
54468708,"Conversion MSc",7,1,90,"dog","kangaroo",160,"Yes",4,3,5,4,3,NA,0,7,7,7,7,7,2,2,3,3,3,1,1,1,1,4,3,3,0,-1,3,3,3,3,3,3,3,0,1,6,-3,3,0,3,3,0,0,0,0,3,7,7,7,7,7,1,2,1,1,2,1,4,1,1,1,1,1,2,3,1,1,1,5,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,44.962,"C",3,0,3,6,4,0,0,7,5,7,7,7,7
54935367,"Conversion MSc",1,5,68,"dog","koala",156,"No",4,3,4,5,4,0,0,7,7,7,7,7,2,2,2,3,3,1,1,1,1,3,2,3,1,-3,2,1,1,-1,3,3,0,6,4,5,-3,-1,1,2,3,4,4,4,3,4,6,3,5,6,5,1,2,1,2,1,1,2,2,1,3,1,1,1,1,1,1,1,1,2,1,1,4,2,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,3,1,1,1,25.068,"C",6,0,4,6,4,3,3,5,5,5,5,5,5
55648027,"Conversion MSc",3,8,70,"cat","koala",165,"No",4,3,3,4,2,3,3,4,6,7,6,5,2,1,2,2,3,4,2,1,2,5,1,3,3,-1,3,0,3,-3,3,3,-3,6,6,6,-3,0,-3,3,0,6,6,0,6,4,6,6,6,5,5,4,3,3,3,3,3,4,5,3,5,3,3,3,3,4,2,3,3,2,4,3,4,2,1,3,1,1,1,1,1,1,1,1,3,1,1,1,1,4,1,1,1,2,3,1,1,1,3,1,1,2,48.283,"C",4,3,3,2,5,4,2,5,3,5,3,3,3
