"student.no","program","stats.exp","stats.anx","expected.grade","cat.dog","aus.animal","height","video.games","pathogen1","pathogen2","pathogen3","pathogen4","pathogen5","pathogen6","pathogen7","introversion1","introversion2","introversion3","introversion4","introversion5","introversion6","introversion7","introversion8","introversion9","introversion10","introversion11","introversion12","introversion13","introversion14","introversion15","introversion16","introversion17","introversion18","pre.drink","post.drink","exercise.attitude.1","exercise.attitude.2","exercise.attitude.3","exercise.attitude.4","exercise.attitude.5","exercise.attitude.6","exercise.attitude.7","exercise.attitude.8","exercise.attitude.9","exercise.attitude.10","exercise.attitude.11","exercise.attitude.12","exercise.attitude.13","exercise.attitude.14","exercise.attitude.15","exercise.attitude.16","exercise.attitude.17","exercise.attitude.18","exercise.attitude.19","exercise.intention.1","exercise.intention.2","exercise.intention.3","exercise.intention.4","exercise.intention.5","exercise.intention.6","exercise.intention.7","exercise.intention.8","exercise.intention.9","exercise.intention.10","exercise.intention.11","exercise.control.1","exercise.control.2","exercise.control.3","exercise.norms.1","exercise.norms.2","exercise.norms.3","exercise.norms.4","exercise.norms.5","exercise.norms.6","exercise.behaviour.1","exercise.behaviour.2","exercise.behaviour.3","exercise.behaviour.4","exercise.behaviour.5","exercise.behaviour.6","exercise.behaviour.7","exercise.behaviour.8","exercise.behaviour.9","exercise.behaviour.10","exercise.behaviour.11","support.1","support.2","support.3","support.4","support.5","support.6","support.7","support.8","support.9","support.10","support.11","support.12","stress.1","stress.2","stress.3","stress.4","stress.5","stress.6","stress.7","stress.8","stress.9","stress.10","stress.11","stress.12","stress.13","stress.14","stars.1","stars.2","stars.3","stars.4","stars.5","stars.6","stars.7","stars.8","stars.9","stars.10","stars.11","stars.12","stars.13","stars.14","stars.15","stars.16","stars.17","stars.18","stars.19","stars.20","stars.21","stars.22","stars.23","stars.24","stars.25","stars.26","stars.27","stars.28","stars.29","stars.30","stars.31","stars.32","stars.33","stars.34","stars.35","stars.36","stars.37","stars.38","stars.39","stars.40","stars.41","stars.42","stars.43","stars.44","stars.45","stars.46","stars.47","stars.48","stars.49","stars.50","stars.51","male1","male2","male3","female1","female2","female3"
19207280,"Health MSc","5","5","65","cat","koala","157","Yes","5","3","3","2","3","2","4","4","2","4","4","1","3","2","4","4","2","2","4","2","3","3","2","2","1","6","10","0","1","2","1","-1","-1","1","1","1","2","-2","1","2","2","1","-1","-2","2","-2","2","-1","2","3","-1","3","-2","3","0","-1","3","2","2","4","3","3","-3","-3","-3","-3","5","0","6","0","0","4","4","0","4","2","6","1","1","6","6","1","6","6","6","6","1","6","6","4","4","4","0","0","0","0","4","0","0","3","4","0","4","4","1","5","2","2","1","2","5","1","5","2","1","5","2","4","5","1","2","5","1","2","5","5","1","1","1","1","1","1","1","1","1","1","1","1","2","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1","4","4","3","4","3","3"
19210531,"Health MSc","5","4","85","dog","koala","168","No","4","3","3","2","5","4","6","4","5","2","2","4","2","4","4","2","4","4","4","4","5","4","3","4","4","9","7","3","3","-1","3","2","0","3","3","3","3","2","3","2","3","3","3","2","2","2","3","0","2","2","0","1","0","2","2","0","3","4","4","5","1","2","0","2","2","2","5","6","1","4","5","4","0","4","6","5","4","7","7","7","7","7","7","7","7","7","7","7","7","1","1","2","3","3","3","4","1","3","3","1","4","3","1","4","3","4","4","3","4","4","5","3","5","2","2","5","2","5","2","2","2","2","4","3","3","2","2","4","3","2","2","1","1","3","1","2","3","2","2","2","4","3","2","1","1","3","4","3","4","2","3","2","2","3","5","6","4","6","6","4"
19595952,"Conversion MSc","1","6","70","dog","platypus","165","No","3","0","1","0","2","0","1","2","4","2","4","3","1","5","5","1","3","4","1","4","3","3","3","1","2","2","2","1","2","0","2","-2","-1","2","0","2","2","1","3","1","2","1","-1","0","1","0","1","0","0","2","1","0","0","0","1","0","2","6","2","5","0","2","0","1","1","1","0","0","0","0","0","2","2","0","0","1","6","3","3","2","2","3","2","4","2","4","3","2","3","1","0","1","4","4","4","3","0","3","4","0","2","4","0","1","2","1","2","1","1","2","2","1","2","2","2","1","2","2","1","1","1","1","2","4","1","1","2","2","3","1","2","1","2","4","1","1","4","2","3","3","2","3","2","3","3","2","3","3","2","2","4","2","2","3","5","5","5","5","5","5"
21166175,"Other Research MSc","6","9","61","dog","platypus","172","Yes","6","4","3","1","3","5","3","5","2","2","4","3","2","4","2","2","2","1","5","1","3","2","2","4","1","12","12","1","0","-1","2","1","-3","1","0","1","0","-2","0","0","1","0","-1","0","1","-1","0","0","0","0","0","0","0","0","0","0","0","6","3","4","0","1","-1","1","1","0","6","0","0","0","0","0","0","6","0","0","4","6","6","6","6","6","6","6","6","6","6","6","6","2","2","2","2","2","2","2","2","2","2","2","2","2","2","5","5","5","5","5","5","5","5","2","5","5","5","5","5","5","5","1","2","5","5","5","5","5","1","5","1","1","1","1","1","4","1","1","4","2","4","4","4","3","5","1","1","2","3","1","1","1","3","1","1","3","5","5","5","3","7","5"
21508917,"Health MSc","6","9","67","both","koala","156","Yes","2","3","5","3","4","4","1","3","2","5","3","4","5","2","4","3","4","3","4","2","3","5","3","2","2","15","14","1","-1","1","1","0","0","2","0","2","0","3","1","0","2","0","-1","3","-3","0","3","-2","1","2","-2","2","-2","3","0","-2","2","","3","5","-3","3","-3","3","3","3","1","2","0","1","0","0","0","1","1","1","6","7","7","7","6","7","6","6","5","7","7","7","6","3","3","4","2","2","3","0","2","1","2","4","4","3","3","5","1","2","2","3","1","1","5","4","4","3","2","4","2","5","3","4","3","4","2","4","2","2","1","4","2","1","2","2","1","4","1","1","4","2","2","3","2","4","2","1","1","2","3","3","4","1","3","1","1","3","4","6","4","4","4","6"
21571207,"Conversion MSc","2","8","60","dog","wombat","162","No","3","0","5","1","2","4","1","1","2","3","4","2","2","3","2","3","2","2","4","1","3","2","2","4","2","0","","2","2","3","2","2","-1","1","0","2","2","1","0","-2","2","2","0","1","0","1","2","0","1","1","0","1","-3","1","1","0","1","4","3","1","-1","1","-1","1","1","1","0","0","0","5","0","0","0","4","6","4","6","1","1","7","7","1","6","6","7","6","1","6","6","3","1","3","1","2","1","1","3","3","1","3","3","3","3","4","4","4","4","4","4","4","4","4","4","4","3","4","4","4","4","3","4","4","4","3","4","4","3","4","2","2","2","2","1","4","1","2","4","2","4","2","4","3","3","2","2","3","2","4","2","2","3","2","2","4","5","4","3","3","3","3"
21769780,"Other Research MSc","5","6","70","both","kangaroo","158","No","2","3","4","2","5","0","0","4","4","2","3","3","5","1","1","4","2","4","4","3","2","2","1","4","2","12","13","3","3","-3","3","0","-1","2","1","1","0","0","2","2","3","0","-2","0","1","1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","3","1","4","2","2","-3","1","2","2","4","5","4","0","4","1","4","2","2","2","5","5","5","3","2","5","4","3","3","5","5","6","2","3","2","4","3","2","2","2","4","2","2","3","4","2","2","3","2","2","2","1","1","2","4","2","3","4","2","3","2","2","4","1","1","3","2","1","2","4","1","3","1","1","1","1","1","1","1","1","1","1","3","1","1","1","1","1","1","1","3","1","4","1","1","1","1","1","5","5","5","5","4","5"
21905792,"Conversion MSc","1","9","100","both","kangaroo","162.56","Yes","4","3","2","2","6","6","6","3","3","5","5","3","5","4","4","4","2","4","5","1","4","5","4","5","2","2","2","2","2","-3","2","1","0","2","2","2","2","1","3","1","2","3","2","1","2","2","3","-3","3","3","3","3","-3","3","3","0","0","6","4","5","3","3","-3","3","3","3","6","0","6","2","0","6","0","4","4","5","4","7","7","4","3","7","7","6","4","7","7","6","7","2","2","3","4","4","4","2","3","4","3","1","4","3","2","5","4","1","5","5","2","5","5","1","5","5","4","4","5","5","1","4","3","4","5","5","4","4","1","3","1","1","1","1","1","5","1","1","1","1","2","3","4","1","4","1","1","3","3","2","1","5","1","1","1","5","5","5","5","5","5","5"
21991611,"Other Research MSc","6","7","60","dog","kangaroo","170.69","Yes","2","3","2","2","2","3","3","4","2","5","2","2","5","2","3","4","3","2","4","3","3","5","2","4","3","2","2","2","1","2","3","2","1","2","3","3","3","1","3","3","3","3","1","1","3","2","3","1","3","2","1","3","-3","3","2","1","2","4","5","4","-1","2","-1","3","3","3","0","5","6","0","4","4","4","4","6","6","6","6","6","6","5","7","7","7","3","7","7","6","7","3","3","3","3","3","3","3","2","2","2","4","4","3","2","4","3","2","4","3","3","5","3","1","4","3","4","3","3","4","3","2","1","4","2","3","1","4","2","2","2","1","2","2","3","2","2","2","2","2","3","3","2","3","2","1","2","2","3","4","1","2","4","3","2","2","3","5","4","3","5","5"
22243251,"Health MSc","5","5","76","cat","koala","162.5","No","6","3","6","6","6","6","6","3","4","2","4","3","3","3","2","2","2","3","2","2","3","2","2","4","2","","","3","0","3","3","3","-3","3","3","3","3","1","3","3","3","3","0","1","1","3","3","3","3","3","3","3","3","2","3","3","3","4","2","3","-1","1","1","1","1","1","4","1","0","0","0","0","4","0","3","4","3","7","7","7","6","7","5","5","6","4","7","7","4","2","2","3","4","2","2","2","3","2","2","2","3","3","2","4","5","3","2","3","4","5","5","2","4","5","5","5","3","5","2","4","1","1","5","2","5","2","1","1","2","1","1","1","1","1","1","1","1","1","1","2","1","2","1","1","1","1","1","1","1","1","1","1","1","1","5","5","4","6","6","5"
22966647,"Health MSc","","4","60","neither","koala","155","Yes","6","0","1","6","3","3","3","4","2","3","4","2","3","2","4","2","4","3","2","1","2","2","4","4","2","0","","1","-2","-2","1","1","-3","1","1","1","-2","1","","1","1","1","-2","-2","1","1","-2","2","2","","-2","2","2","2","1","2","2","2","1","0","1","","1","1","1","1","0","1","0","0","0","0","0","0","1","0","4","3","3","3","5","2","2","2","2","5","2","5","5","4","4","3","1","2","1","1","3","1","1","4","1","1","","2","2","4","3","3","2","5","2","2","2","2","2","4","4","2","2","3","4","2","4","2","4","2","2","4","2","1","3","2","2","4","1","1","4","2","4","2","1","4","2","2","2","2","4","3","2","2","4","2","1","2","6","7","6","4","6","6"
23573182,"Health MSc","4","7","50","dog","koala","168","No","5","1","6","4","6","6","6","2","5","1","1","5","1","5","5","1","4","4","4","5","4","2","4","2","4","15","10","3","3","-3","3","3","2","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","6","6","6","0","0","0","1","1","2","6","5","6","6","0","6","0","6","5","6","5","6","6","7","7","6","7","7","6","7","6","6","6","1","0","1","3","3","3","3","1","3","3","2","3","3","0","3","2","3","4","4","2","5","5","1","5","4","3","4","4","5","2","2","1","2","4","3","2","1","2","3","3","2","2","2","1","2","1","2","3","2","4","4","4","4","4","2","2","4","2","4","3","2","4","3","2","3","3","6","7","7","8","8"
25414834,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
26612847,"Health MSc","6","5","60","dog","kangaroo","187.96","Yes","6","3","4","4","4","3","6","4","4","4","4","3","4","4","4","3","3","4","3","4","4","4","3","2","2","0","0","3","1","1","3","0","1","3","0","2","1","1","2","2","3","2","-3","2","0","2","-1","-1","0","0","-1","-1","-3","0","-1","-1","-1","4","2","4","-3","1","-3","0","1","1","2","0","0","0","2","4","0","3","1","3","4","6","6","6","5","6","4","4","5","6","6","6","6","0","0","2","2","3","4","3","0","3","3","1","3","3","0","4","2","3","3","3","2","4","4","1","4","4","4","5","3","4","3","1","3","3","3","2","4","3","1","1","1","1","1","1","1","3","1","1","3","1","2","3","3","3","3","1","1","3","3","3","1","1","4","1","1","1","4","5","4","4","6","4"
27045639,"Conversion MSc","1","7","87","both","wombat","175","No","4","2","4","3","3","3","0","4","4","2","5","4","2","2","4","4","4","4","4","1","4","1","1","4","2","0","","3","3","-1","3","3","2","3","3","3","3","2","3","3","3","3","3","2","3","3","3","1","2","3","1","3","-3","3","3","0","3","5","5","3","-3","-1","-1","0","3","3","1","6","6","0","4","6","6","2","6","6","6","4","4","5","3","3","3","3","2","3","4","5","5","1","2","4","2","3","2","2","1","3","2","2","4","4","1","4","2","5","4","3","4","5","5","4","5","4","3","5","3","5","3","4","1","1","4","5","5","3","1","5","1","1","1","1","1","5","1","1","5","1","4","2","3","5","1","1","1","3","3","1","3","2","4","2","1","2","6","5","3","5","8","4"
27134280,"Conversion MSc","1","7","65","dog","wombat","175","No","4","0","4","3","2","5","1","2","4","5","5","2","2","4","4","4","2","5","4","1","4","5","1","5","2","","3","3","2","2","3","2","2","2","-1","3","3","3","1","3","2","2","2","0","1","2","2","1","1","3","2","1","","1","3","2","3","5","6","5","-3","0","-1","-3","-3","1","6","6","6","6","6","6","4","6","6","6","6","7","7","5","5","7","5","4","3","4","7","7","4","3","3","3","3","3","2","2","2","2","2","3","3","3","3","5","4","1","4","5","3","4","4","4","4","5","1","3","3","4","2","1","1","3","5","5","5","1","2","5","3","3","3","3","1","5","1","3","4","3","4","4","3","5","3","3","3","4","3","5","1","3","3","3","3","3","4","5","2","5","3","2"
28800694,"Other Research MSc","4","6","80","cat","wombat","168","Yes","6","2","6","6","5","4","6","5","3","4","4","2","4","1","3","4","3","2","5","2","2","3","2","5","2","4","6","-1","0","-1","1","-2","-2","-2","0","-1","-3","-2","1","-1","1","-2","-2","0","-2","-2","2","-1","1","-1","0","0","0","2","0","0","2","6","1","2","-1","0","-1","1","1","1","1","0","0","0","0","0","0","1","1","0","4","6","6","6","5","6","5","5","5","6","7","6","6","2","3","4","3","1","2","2","3","2","2","3","3","2","3","3","3","5","2","3","1","4","3","1","3","2","3","4","2","3","5","1","1","5","4","3","3","5","3","4","2","1","3","2","1","4","2","2","4","2","3","4","4","5","2","1","1","2","2","3","2","3","5","2","1","3","4","5","5","5","6","6"
28979822,"Conversion MSc","2","7","81","both","platypus","168","No","6","6","5","4","6","6","6","2","4","2","5","3","3","4","4","3","4","3","4","4","4","4","3","3","3","1","1","1","0","0","1","0","1","1","1","1","0","2","2","1","1","1","1","1","-1","1","-1","-1","0","0","-1","0","-1","-1","0","-1","-1","4","4","4","-1","-1","-1","-1","1","1","3","2","2","0","0","0","2","0","4","4","6","6","6","6","6","6","7","7","7","7","7","7","7","3","1","3","3","2","3","2","1","3","3","2","4","3","2","4","4","2","4","3","4","3","5","5","5","3","4","5","3","5","2","2","5","2","4","5","5","2","1","3","2","2","2","1","1","2","1","3","3","2","4","4","1","3","2","1","2","3","4","3","1","1","2","2","3","2","3","4","3","2","2","3"
30451354,"Health MSc","6","4","90","cat","koala","169","No","6","3","3","3","4","5","6","4","4","5","4","4","2","5","3","2","2","4","3","1","3","3","3","2","2","","","2","1","-1","1","0","-1","2","-1","1","1","0","2","1","3","2","-1","0","2","1","2","2","3","2","3","3","0","3","3","2","2","4","3","5","3","3","2","3","3","3","6","5","6","0","2","4","2","4","6","6","6","7","7","7","7","7","7","7","7","7","7","7","7","1","1","2","4","4","3","3","2","2","3","1","4","3","1","5","2","1","3","2","2","4","5","1","5","3","2","2","2","5","1","1","1","2","3","4","1","2","1","4","2","2","4","1","2","3","1","5","2","2","4","4","3","4","2","2","1","2","4","1","1","1","4","2","2","4","8","8","7","5","5","4"
31820204,"Other Research MSc","5","6","75","dog","platypus","157.5","No","5","0","1","6","4","3","2","5","3","2","4","3","2","1","2","3","4","3","5","2","3","5","2","5","2","2","2","2","3","3","3","1","-1","1","-1","3","-1","0","3","1","2","3","0","0","-1","2","3","3","3","-1","1","0","-3","3","-1","-2","3","4","4","2","3","3","1","3","1","3","0","0","0","0","0","0","0","0","0","5","6","3","3","3","2","7","7","7","1","7","6","5","7","2","3","4","3","2","2","2","1","1","2","4","3","3","3","5","3","4","4","2","2","3","5","4","5","2","2","5","3","5","","4","1","4","2","3","4","4","1","4","1","1","1","1","1","1","1","1","1","1","1","1","3","1","1","1","1","1","2","1","1","1","1","1","1","3","3","7","5","6","4","7"
33303653,"Conversion MSc","3","6","80","dog","kangaroo","158","No","3","1","2","3","1","1","2","4","3","2","4","3","4","4","3","3","4","3","4","4","3","4","2","4","4","","","2","3","-2","2","1","0","3","2","2","2","2","3","2","2","1","2","2","1","2","3","-3","3","2","1","2","-3","2","1","0","3","3","3","5","2","2","-2","3","1","2","5","4","1","1","1","3","0","3","6","4","6","7","7","7","7","7","7","7","5","7","7","6","7","2","2","3","3","2","3","2","2","4","1","3","3","2","2","4","4","3","3","4","3","4","4","2","4","3","2","3","","4","3","3","3","2","4","4","3","2","2","2","2","2","2","2","2","2","2","2","1","2","2","2","2","1","2","2","2","2","3","2","2","2","2","2","2","3","5","5","5","5","5","5"
33497015,"Conversion MSc","6","4","75","both","platypus","180","No","6","2","2","5","4","4","6","4","4","4","4","3","4","4","4","4","4","2","5","2","3","4","4","4","3","3","2","3","2","3","3","2","-2","3","2","3","2","1","3","1","3","2","3","0","2","2","2","2","2","3","1","2","-3","2","1","0","2","5","4","4","0","0","0","0","0","0","6","5","0","0","0","0","0","5","5","6","6","6","4","5","5","4","4","4","3","4","2","4","3","3","3","4","2","3","3","2","3","3","3","3","3","3","3","3","","5","3","2","4","3","4","2","2","3","3","2","2","2","4","2","","3","","3","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","4","4","2","6","5"
33770494,"Other Research MSc","3","4","66","dog","koala","168","No","3","2","5","3","6","6","4","3","3","4","4","2","4","3","3","2","2","2","4","3","3","3","2","4","2","9","9","1","1","1","3","1","0","3","1","3","2","1","3","2","3","3","0","1","1","1","-1","-1","1","1","-1","1","1","0","1","-1","-1","6","3","3","-1","0","1","3","3","3","0","2","0","0","0","0","0","0","0","6","6","6","4","7","6","4","5","5","3","6","4","5","6","2","2","3","2","2","2","2","2","2","2","2","3","3","2","3","3","3","3","3","2","4","4","1","5","3","3","3","3","5","3","1","1","4","3","3","3","4","1","3","1","3","2","1","1","1","1","1","2","1","2","3","1","2","2","1","1","3","3","3","1","1","3","1","1","2","3","4","3","5","6","5"
