"student.no","program","stats.exp","stats.anx","cat.dog","aus.animal","height","video.games","pathogen1","pathogen2","pathogen3","pathogen4","pathogen5","pathogen6","pathogen7","introversion1","introversion2","introversion3","introversion4","introversion5","introversion6","introversion7","introversion8","introversion9","introversion10","introversion11","introversion12","introversion13","introversion14","introversion15","introversion16","introversion17","introversion18","pre.drink","post.drink","exercise.attitude.1","exercise.attitude.2","exercise.attitude.3","exercise.attitude.4","exercise.attitude.5","exercise.attitude.6","exercise.attitude.7","exercise.attitude.8","exercise.attitude.9","exercise.attitude.10","exercise.attitude.11","exercise.attitude.12","exercise.attitude.13","exercise.attitude.14","exercise.attitude.15","exercise.attitude.16","exercise.attitude.17","exercise.attitude.18","exercise.attitude.19","exercise.intention.1","exercise.intention.2","exercise.intention.3","exercise.intention.4","exercise.intention.5","exercise.intention.6","exercise.intention.7","exercise.intention.8","exercise.intention.9","exercise.intention.10","exercise.intention.11","exercise.control.1","exercise.control.2","exercise.control.3","exercise.norms.1","exercise.norms.2","exercise.norms.3","exercise.norms.4","exercise.norms.5","exercise.norms.6","exercise.behaviour.1","exercise.behaviour.2","exercise.behaviour.3","exercise.behaviour.4","exercise.behaviour.5","exercise.behaviour.6","exercise.behaviour.7","exercise.behaviour.8","exercise.behaviour.9","exercise.behaviour.10","exercise.behaviour.11","support.1","support.2","support.3","support.4","support.5","support.6","support.7","support.8","support.9","support.10","support.11","support.12","stress.1","stress.2","stress.3","stress.4","stress.5","stress.6","stress.7","stress.8","stress.9","stress.10","stress.11","stress.12","stress.13","stress.14","stars.1","stars.2","stars.3","stars.4","stars.5","stars.6","stars.7","stars.8","stars.9","stars.10","stars.11","stars.12","stars.13","stars.14","stars.15","stars.16","stars.17","stars.18","stars.19","stars.20","stars.21","stars.22","stars.23","stars.24","stars.25","stars.26","stars.27","stars.28","stars.29","stars.30","stars.31","stars.32","stars.33","stars.34","stars.35","stars.36","stars.37","stars.38","stars.39","stars.40","stars.41","stars.42","stars.43","stars.44","stars.45","stars.46","stars.47","stars.48","stars.49","stars.50","stars.51"
98652735,"Conversion MSc",8,5,"dog","kangaroo",182.94388607362,"Yes",2,4,2,1,4,0,3,5,1,5,3,1,4,4,3,4,3,2,1,5,3,4,3,4,1,3,0,3,1,2,1,1,-3,-2,-1,-3,-1,-3,0,-2,0,-1,1,0,-3,3,1,-2,0,-3,3,-1,0,0,-1,-1,1,4,1,2,3,2,-2,3,-1,-1,4,6,3,4,0,1,1,2,1,1,4,6,2,1,3,4,4,7,4,2,4,3,6,0,3,3,3,4,3,1,0,2,4,3,2,4,4,5,1,5,1,2,5,1,4,4,1,3,4,4,1,1,5,1,2,5,2,2,4,4,2,2,2,1,2,4,5,1,2,4,2,4,5,1,2,1,5,5,5,3,1,3,5,4,4,5,4,4
54231355,"Health MSc",8,8,"cat","platypus",168.525503347726,"No",6,0,3,0,1,3,3,3,4,3,3,3,5,2,1,5,5,1,3,5,5,3,4,5,4,21,9,1,2,0,2,3,-1,-3,2,-3,2,-1,2,-3,3,-3,3,2,2,-2,3,-1,-2,-1,-2,1,3,1,0,-1,3,0,4,1,0,-3,-1,-2,-1,1,3,3,4,5,2,6,6,4,0,1,1,2,5,2,7,4,6,3,6,2,1,3,3,4,2,4,0,3,1,4,0,3,0,2,0,2,2,1,3,5,1,1,1,2,3,3,4,1,4,4,1,5,1,3,5,1,4,2,3,2,2,2,3,1,5,3,4,2,3,4,4,4,2,5,4,4,3,1,5,2,3,5,3,3,3,1,3,4
46375043,"Other Research MSc",4,1,"dog","koala",187.595192510008,"No",4,3,1,5,3,3,1,1,2,2,5,2,5,2,5,4,2,3,5,5,3,3,5,3,2,10,25,-2,-2,2,-2,1,-1,-1,-3,-3,-1,2,3,1,1,-1,1,1,-2,1,2,-3,-1,0,0,-1,1,-1,3,1,2,4,1,3,0,-3,2,2,-3,-3,1,6,6,0,3,4,3,2,6,0,6,1,4,5,2,1,5,5,3,7,1,1,4,1,2,1,0,3,1,2,2,3,1,0,3,1,0,4,4,1,4,5,1,1,5,3,4,4,4,1,2,3,2,1,2,2,1,1,3,4,4,3,3,2,3,3,1,5,3,4,3,4,5,1,3,3,4,1,5,1,5,3,1,1,3,4,3,3
44052764,"Conversion MSc",8,5,"cat","platypus",150.242916847372,"Yes",0,5,4,0,5,3,1,4,1,5,5,4,4,3,2,2,4,4,5,2,2,5,2,1,3,19,27,3,2,0,3,-1,-3,0,3,-1,-2,-1,2,3,-1,2,1,2,-3,-2,2,2,1,2,2,-2,1,-2,-1,0,3,6,0,4,3,0,1,0,-2,-2,0,0,0,2,4,2,6,2,1,4,0,6,7,4,2,4,6,7,7,5,7,3,1,1,1,0,0,4,0,2,0,2,2,0,0,0,3,3,5,3,2,5,4,1,4,2,1,4,5,3,1,3,3,2,1,1,5,2,3,5,3,1,1,3,4,3,3,3,5,2,3,3,3,5,3,2,3,4,4,4,3,5,3,5,3,1,4,5
27225861,"Conversion MSc",9,2,"dog","kangaroo",170.185168426866,"No",4,1,5,0,4,0,4,5,3,2,5,4,4,3,5,1,5,3,1,2,1,4,4,5,4,21,28,0,0,1,0,-1,0,-2,3,-2,-1,1,-3,2,-2,-3,-3,0,-1,2,1,2,2,-1,-2,-2,-1,-1,-1,2,-3,5,5,6,3,-1,-3,0,-1,-3,4,1,1,5,2,1,3,1,6,2,4,3,7,7,5,7,7,1,1,7,1,4,4,0,3,4,0,4,2,4,2,0,0,2,1,0,0,5,5,2,1,2,3,2,2,2,4,5,2,4,3,1,4,4,3,5,1,2,3,4,4,2,3,1,4,2,2,4,2,1,1,5,5,1,1,5,3,3,2,1,3,3,4,3,3,1,4,5
64497947,"Other Research MSc",7,2,"neither","wombat",178.640084673336,"No",5,3,1,1,4,0,2,5,4,4,2,5,2,2,1,3,1,2,1,1,2,5,4,1,2,5,23,3,2,1,1,-2,-1,1,-1,-3,3,2,-3,0,-1,2,2,-1,2,2,3,2,1,-1,-3,1,-3,0,-2,0,0,0,6,4,1,-3,1,0,2,3,1,6,6,2,1,3,0,0,5,3,3,5,4,2,4,5,2,6,4,4,1,7,5,1,3,2,4,3,2,0,2,3,1,2,4,0,0,3,5,3,3,1,3,5,1,3,2,1,5,3,2,2,3,4,4,4,2,2,5,5,1,1,5,2,2,5,1,2,1,3,4,2,2,5,2,1,2,4,4,4,3,2,5,5,2,4,4,2
79714741,"Conversion MSc",3,8,"dog","kangaroo",167.025889051788,"Yes",0,1,1,5,0,0,2,4,3,1,2,2,2,2,4,1,1,4,4,1,4,2,3,1,4,18,9,1,-3,-1,1,2,-2,1,3,3,2,1,3,-2,-3,0,1,2,-3,0,0,3,2,-3,1,-2,3,1,1,0,-1,6,4,1,-3,3,0,1,3,1,5,3,3,2,6,5,1,0,2,6,2,2,7,2,7,7,5,2,7,6,4,2,1,0,2,0,1,3,2,0,0,3,4,3,4,1,3,3,5,4,3,4,4,5,3,3,3,5,4,1,2,4,1,5,5,3,1,3,5,2,5,3,1,2,1,5,5,1,3,1,2,1,4,1,2,4,4,5,1,1,3,2,3,2,5,2,3,3
38864189,"Other Research MSc",9,3,"cat","kangaroo",186.653068347775,"No",0,6,1,6,1,5,4,1,2,3,2,2,5,2,4,2,4,1,5,2,4,1,5,3,5,0,17,1,2,-2,0,1,-3,-1,2,-3,1,2,3,-2,-3,-2,1,-3,1,2,2,0,2,1,-1,-2,-3,-3,-2,-2,-2,5,0,2,1,3,3,-3,1,-1,4,6,5,0,2,2,3,3,3,3,2,7,5,7,4,5,2,4,4,4,6,5,4,1,0,0,2,3,1,0,2,3,1,4,1,0,2,1,3,1,3,3,4,3,3,2,1,4,4,5,5,3,3,5,1,5,1,3,2,3,5,2,4,4,3,4,3,1,1,4,5,4,1,2,3,1,1,4,3,5,2,2,1,1,1,1,4,2
22387469,"Conversion MSc",7,9,"dog","kangaroo",168.516739289106,"No",1,0,2,2,5,1,2,5,5,1,4,4,2,1,3,4,5,1,2,1,3,3,5,4,4,29,7,1,1,2,-1,-3,3,0,-1,2,2,-1,-3,-1,-3,1,-1,1,-1,3,2,0,-3,0,1,2,2,-2,-2,1,1,1,4,4,-2,1,-2,1,3,3,1,0,2,5,3,0,3,3,5,0,5,7,5,6,5,5,5,5,1,3,4,3,7,2,4,1,2,3,4,1,3,4,1,4,3,1,0,5,1,2,1,1,2,1,1,1,1,3,3,4,5,3,4,1,1,4,4,3,1,5,1,4,2,5,4,3,1,5,4,1,3,3,3,4,3,2,3,3,1,2,1,3,3,3,5,2,4,3
82079687,"Other Research MSc",7,2,"cat","kangaroo",183.896860957838,"No",5,2,5,3,1,0,3,4,3,5,1,3,2,5,2,5,4,3,2,5,3,5,2,3,5,3,21,0,3,1,-3,0,2,0,-2,1,-3,3,-3,-1,1,-3,3,-3,0,2,0,-1,-2,-1,-2,-1,-3,1,-2,-1,1,3,6,1,-1,3,-1,-1,2,2,3,1,0,5,2,2,3,6,3,2,0,7,5,7,1,3,6,4,2,2,1,7,7,0,1,0,0,2,2,0,3,1,3,0,4,3,3,5,3,3,4,1,2,5,3,3,4,4,3,1,5,2,5,2,1,5,1,3,4,2,5,1,4,3,2,5,1,1,3,4,4,4,4,3,3,5,4,3,5,5,3,2,2,1,2,1,4,5
76381343,"Other Research MSc",9,7,"cat","wombat",170.960627200063,"No",3,1,5,1,1,3,1,2,1,1,3,3,4,5,3,4,1,4,1,4,3,5,4,2,5,29,27,3,-3,0,0,3,-2,-1,2,3,3,-3,-3,-1,2,3,-2,0,1,-2,2,-2,2,0,3,1,-2,-3,-1,-3,1,1,2,2,2,-2,-2,0,-2,-2,4,0,1,4,6,1,4,2,3,6,6,6,6,2,7,7,2,2,6,5,5,4,6,0,4,0,1,0,1,0,2,0,1,2,1,0,0,3,3,4,1,4,2,4,4,2,5,2,3,2,5,3,2,4,2,4,3,2,1,1,5,3,4,1,1,4,3,4,2,2,3,4,1,2,5,4,3,3,5,5,4,4,1,3,1,1,2,3
20572852,"Conversion MSc",3,4,"neither","platypus",163.406121705199,"Yes",0,1,4,2,5,2,2,3,3,4,1,4,4,3,1,3,5,5,3,1,3,3,4,4,2,11,26,3,-3,3,2,1,-2,2,1,-3,3,-2,2,-3,0,1,3,2,2,1,-2,-2,1,0,-1,-3,-1,2,-3,-3,-1,5,6,5,3,-2,2,-2,-1,0,0,0,0,4,1,0,6,0,6,5,3,6,3,1,2,5,4,7,6,3,6,4,6,1,1,0,3,1,4,0,1,3,2,3,2,3,2,5,1,1,5,2,5,5,3,3,5,1,1,1,5,4,4,3,2,4,4,1,3,5,5,3,2,3,3,3,4,1,5,4,5,1,1,2,2,5,2,1,3,1,4,4,2,2,4,2,4,2
61903617,"Other Research MSc",2,7,"dog","platypus",176.472232531815,"Yes",5,3,2,1,6,3,0,4,3,3,5,3,5,1,1,3,2,2,1,5,5,1,5,1,4,3,30,0,2,-2,1,1,-3,-2,-1,1,-3,1,0,-3,-2,0,2,3,1,1,-3,-3,-3,-1,0,1,3,2,2,-2,2,0,5,3,-1,-1,2,1,2,2,0,2,5,2,5,2,5,4,0,2,0,7,4,7,2,2,6,2,3,6,4,2,3,2,3,4,1,2,2,4,2,0,1,2,0,1,2,3,5,1,5,4,5,2,5,1,5,3,2,4,4,1,3,4,3,1,4,4,5,4,2,2,4,4,4,3,4,1,3,4,4,1,5,4,2,1,4,2,5,5,5,3,5,4,2,1,5,1
14233305,"Health MSc",7,7,"dog","platypus",192.275406914909,"Yes",3,5,2,1,5,5,0,5,3,2,1,3,5,5,3,3,1,2,3,3,4,5,2,1,4,6,20,1,0,-2,0,-2,-1,2,-2,-1,0,-3,3,1,-3,1,-1,-3,3,-2,-3,3,2,3,2,-2,3,1,0,-2,3,0,1,4,-1,2,-2,0,0,3,6,5,5,1,6,4,0,2,0,0,1,5,6,7,4,6,5,5,7,4,5,2,7,4,2,4,3,2,0,0,0,4,3,4,2,2,0,1,5,1,5,1,1,3,5,1,3,5,4,1,2,2,5,5,3,3,5,4,5,5,5,4,2,3,2,1,2,1,3,2,4,1,1,1,3,2,3,2,1,4,4,5,4,5,5,2,1,2
63402225,"Conversion MSc",4,6,"cat","echidna",172.001834693631,"No",2,4,4,4,3,2,5,3,5,3,4,4,3,4,4,2,5,2,4,2,4,2,2,2,4,20,12,0,2,1,-2,3,-2,3,2,-3,0,-2,-3,1,-3,-2,0,3,2,-2,0,0,1,0,3,-3,3,-3,2,-1,-3,4,4,3,-2,0,1,-3,0,-1,2,1,3,5,4,5,5,4,4,2,0,1,7,5,4,6,1,2,3,2,3,7,6,0,4,2,0,3,2,4,1,3,1,2,3,2,3,2,1,2,4,3,3,5,2,5,5,3,5,5,4,3,3,5,3,3,3,3,2,3,1,3,5,2,1,4,2,3,1,4,5,4,4,5,3,3,1,5,5,1,3,4,4,2,1,4,2,5
66594604,"Conversion MSc",5,6,"cat","koala",173.713111405219,"Yes",1,0,3,6,5,3,2,5,2,1,4,5,1,3,5,1,3,4,5,2,2,2,2,4,5,11,24,-1,-2,0,3,3,3,-1,0,-1,-3,-1,3,2,1,-2,-2,-1,3,0,0,3,-1,3,2,1,1,-2,-2,2,-3,6,2,4,3,-3,-3,-1,1,-3,4,5,0,6,6,2,3,2,5,1,2,3,1,5,7,3,4,4,3,5,7,2,2,2,1,0,2,3,4,1,3,4,0,0,4,2,3,4,4,5,3,1,1,2,2,2,2,4,4,3,1,3,3,1,1,1,2,4,3,4,1,2,3,1,5,3,1,2,3,3,5,2,2,5,4,3,5,1,1,5,1,1,2,3,1,1,2,1
37837379,"Conversion MSc",5,7,"neither","platypus",175.763399368083,"Yes",0,6,4,0,6,0,4,2,5,1,2,3,5,3,5,3,5,5,5,4,1,3,1,3,5,17,12,1,2,-3,-2,1,1,3,2,1,2,-2,-1,-3,-2,0,3,-3,-2,2,-3,2,-2,-1,1,3,-1,3,1,0,3,2,5,4,1,-2,1,-3,0,-3,3,1,4,2,0,2,5,3,2,5,2,1,1,6,4,1,3,1,5,2,2,5,2,0,4,1,1,1,2,2,2,4,0,2,3,0,1,1,4,1,4,4,2,4,4,5,2,3,1,2,3,3,5,2,1,2,1,1,3,4,2,4,4,5,2,5,4,4,5,1,3,3,2,2,5,1,2,5,2,4,3,3,3,2,1,5,4,4
27295118,"Other Research MSc",3,4,"cat","koala",175.436892528207,"No",1,4,6,2,1,5,0,3,4,1,3,5,3,1,1,5,1,5,2,2,1,1,5,3,5,4,20,1,1,2,-2,1,-3,3,2,-3,3,3,1,-1,2,3,2,2,1,0,3,0,2,2,1,-3,-1,-3,2,-1,3,3,4,5,-1,3,3,0,0,0,6,4,5,0,0,3,5,2,2,2,6,1,2,1,6,4,4,5,7,6,3,3,2,3,2,0,1,0,3,0,0,4,3,1,1,3,3,2,4,1,3,1,5,2,3,4,2,5,2,1,5,5,3,5,3,1,3,5,2,3,5,1,2,2,5,3,3,2,2,3,1,5,3,5,1,2,4,5,2,3,2,4,5,2,2,3,3,5
71978504,"Other Research MSc",1,8,"cat","koala",181.876726247708,"No",1,0,0,4,3,4,1,1,1,3,4,5,2,5,3,3,1,1,5,3,3,5,2,1,3,25,10,-3,3,-3,0,2,3,3,3,3,-1,2,2,-3,3,1,2,-3,-3,-3,0,3,0,-1,1,-2,3,-2,-2,3,2,3,0,5,1,-3,-1,2,3,-2,3,4,2,5,2,1,2,4,1,3,4,4,5,3,3,5,1,7,6,4,5,5,1,1,3,0,3,4,0,3,4,3,0,3,4,3,4,5,5,1,3,2,2,2,3,1,4,1,5,1,3,1,4,2,1,1,1,4,3,5,5,5,1,2,5,3,2,3,4,3,2,1,1,1,5,5,1,4,4,3,5,1,5,3,5,3,4,5
92830333,"Other Research MSc",6,6,"cat","kangaroo",173.849709146634,"Yes",4,5,6,6,0,2,1,1,2,2,4,4,5,2,1,1,3,4,3,4,3,3,3,4,5,15,10,3,-1,1,3,-2,1,2,-2,3,3,-3,0,-2,2,-3,2,-1,2,-2,0,-2,2,-1,-3,0,-3,-3,-1,-3,-3,0,1,5,3,-1,1,3,1,-3,5,2,4,0,6,4,2,1,0,6,4,4,7,4,3,1,5,6,3,4,4,1,2,3,4,1,1,3,2,4,0,3,1,4,1,0,0,2,3,2,3,4,5,3,4,2,2,2,5,4,3,1,3,1,1,1,2,1,1,5,4,1,3,1,1,3,4,4,4,5,3,5,5,4,5,1,3,2,1,1,5,2,4,5,1,3,2,5
59607042,"Conversion MSc",7,5,"both","platypus",169.144478959934,"No",5,1,1,4,2,5,1,5,1,3,4,2,5,4,1,1,4,1,1,4,5,3,5,5,4,3,26,3,-1,0,1,1,-2,3,3,3,1,3,1,3,3,-3,-3,1,3,2,-3,0,1,1,3,-2,-3,1,0,1,3,6,5,0,2,-1,1,-1,-2,1,4,2,1,5,2,1,3,1,1,6,0,3,6,2,2,1,4,2,6,3,4,1,4,4,3,3,0,1,3,3,2,0,0,4,2,4,2,2,1,1,4,2,2,3,2,5,4,4,1,4,5,1,4,4,4,5,3,2,3,3,2,2,5,5,5,2,1,5,1,4,4,3,4,1,4,3,1,4,2,5,2,4,4,2,5,5,3,4
67893098,"Health MSc",4,6,"dog","platypus",182.014303659308,"Yes",1,0,5,5,1,6,1,2,1,3,3,4,5,2,5,5,1,5,2,4,4,3,1,5,3,2,9,3,-2,-2,-1,-2,1,2,3,-3,-1,2,1,1,0,0,-3,-3,2,0,-1,-1,-2,0,2,3,-3,-3,-2,-3,-1,2,3,2,0,-1,0,2,1,-3,6,1,2,6,3,5,0,2,1,2,2,6,2,1,7,6,6,5,2,7,7,1,3,0,3,2,3,0,0,2,1,4,2,0,1,2,0,5,3,2,1,4,1,4,5,3,1,1,3,2,3,3,1,2,1,3,3,4,5,3,2,2,3,5,5,5,2,3,5,3,1,4,4,1,2,5,4,4,4,5,1,4,5,2,4,4,5,1
33266486,"Health MSc",1,7,"both","platypus",183.321569820034,"Yes",4,6,2,4,0,1,4,2,2,2,2,3,1,3,2,4,2,3,2,4,4,1,1,5,1,13,19,-1,-2,1,1,-3,0,-3,0,-1,2,1,-1,0,-2,0,0,3,0,-2,3,3,-1,-3,1,1,-3,3,2,-3,-3,2,6,1,-3,1,1,3,3,2,2,0,6,6,3,0,5,3,6,6,4,1,3,7,1,7,2,3,3,1,7,3,3,3,2,1,0,2,4,3,0,2,2,2,3,4,2,2,3,1,3,1,4,1,2,4,5,3,1,1,2,4,2,3,4,2,3,2,2,1,3,4,2,3,5,2,5,2,5,5,2,3,4,1,2,3,3,1,3,2,4,3,3,4,2,1,3,3
